Ramaco Resources Price to Free Cash Flow Ratio Historical Data,Ramaco Resources Price to Free Cash Flow Ratio Historical Data,Ramaco Resources Price to Free Cash Flow Ratio Historical Data,Ramaco Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.95,,10.96
2024-12-31,10.26,$0.82,12.56
2024-09-30,11.7,$1.19,9.8
2024-06-30,12.45,$1.86,6.7
2024-03-31,16.84,$1.68,10.02
2023-12-31,17.18,$1.51,11.41
2023-09-30,10.99,$1.00,11.04
2023-06-30,8.44,$0.26,32.9
2023-03-31,8.66,$0.12,72.93
2022-12-31,8.54,$1.45,5.88
2022-09-30,8.85,$1.60,5.53
2022-06-30,12.51,$1.22,10.28
2022-03-31,14.91,$1.90,7.86
2021-12-31,12.74,$0.54,23.61
2021-09-30,11.53,$0.64,17.96
2021-06-30,5.12,$0.54,9.42
2021-03-31,3.96,$-0.28,0.0
2020-12-31,2.7,$-0.27,0.0
2020-09-30,3.28,$-0.35,0.0
2020-06-30,2.0,$-0.18,0.0
2020-03-31,2.24,$0.21,10.66
2019-12-31,3.35,$-0.08,0.0
2019-09-30,3.5,$-0.00,0.0
2019-06-30,4.98,$0.02,255.47
2019-03-31,5.43,$-0.42,0.0
2018-12-31,4.64,$-0.30,0.0
2018-09-30,6.99,$-1.05,0.0
2018-06-30,6.52,$-1.63,0.0
2018-03-31,6.73,$-1.91,0.0
2017-12-31,6.44,$-2.23,0.0
