Haverty Furniture Price to Free Cash Flow Ratio Historical Data,Haverty Furniture Price to Free Cash Flow Ratio Historical Data,Haverty Furniture Price to Free Cash Flow Ratio Historical Data,Haverty Furniture Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,21.28,,14.03
2024-12-31,22.26,$1.52,14.67
2024-09-30,27.11,$1.63,16.62
2024-06-30,24.66,$2.55,9.65
2024-03-31,32.89,$2.02,16.28
2023-12-31,33.92,$2.44,13.87
2023-09-30,26.38,$2.17,12.17
2023-06-30,27.43,$0.52,52.46
2023-03-31,28.64,$0.77,37.33
2022-12-31,26.61,$1.24,21.49
2022-09-30,21.26,$1.00,21.23
2022-06-30,19.61,$1.56,12.57
2022-03-31,22.97,$3.16,7.26
2021-12-31,25.38,$3.18,7.98
2021-09-30,26.12,$4.44,5.88
2021-06-30,32.89,$7.51,4.38
2021-03-31,28.45,$11.45,2.48
2020-12-31,21.04,$9.56,2.2
2020-09-30,14.75,$8.18,1.8
2020-06-30,11.17,$6.18,1.81
2020-03-31,8.23,$0.90,9.1
2019-12-31,13.77,$2.23,6.17
2019-09-30,13.71,$2.43,5.65
2019-06-30,11.4,$2.00,5.7
2019-03-31,14.49,$2.35,6.16
2018-12-31,12.43,$2.23,5.58
2018-09-30,13.83,$1.86,7.43
2018-06-30,13.41,$1.47,9.11
2018-03-31,12.4,$1.26,9.82
2017-12-31,13.82,$1.24,11.17
2017-09-30,15.85,$1.80,8.83
2017-06-30,15.12,$2.05,7.37
2017-03-31,14.59,$1.89,7.72
2016-12-31,14.13,$1.31,10.82
2016-09-30,11.35,$1.01,11.27
2016-06-30,10.15,$0.54,18.89
2016-03-31,11.85,$0.18,67.62
2015-12-31,11.95,$1.01,11.84
2015-09-30,13.03,$0.84,15.53
2015-06-30,11.94,$0.67,17.89
2015-03-31,13.69,$1.10,12.5
2014-12-31,12.07,$0.98,12.35
2014-09-30,11.91,$1.52,7.82
2014-06-30,13.12,$1.75,7.49
2014-03-31,15.46,$1.51,10.26
2013-12-31,16.25,$1.41,11.55
2013-09-30,12.7,$0.92,13.83
2013-06-30,11.87,$0.88,13.56
2013-03-31,10.59,$0.83,12.73
2012-12-31,8.38,$1.07,7.82
2012-09-30,6.7,$0.56,11.99
2012-06-30,5.38,$-0.15,0.0
2012-03-31,5.33,$0.00,0.0
2011-12-31,5.27,$0.06,89.01
2011-09-30,4.74,$0.33,14.38
2011-06-30,5.47,$0.32,16.92
2011-03-31,6.3,$0.59,10.68
2010-12-31,6.16,$0.51,12.1
2010-09-30,5.13,$1.07,4.8
2010-06-30,5.78,$1.90,3.05
2010-03-31,7.68,$2.00,3.84
2009-12-31,6.46,$1.96,3.3
