EnVVeno Medical Price to Free Cash Flow Ratio Historical Data,EnVVeno Medical Price to Free Cash Flow Ratio Historical Data,EnVVeno Medical Price to Free Cash Flow Ratio Historical Data,EnVVeno Medical Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.9,,0.0
2024-12-31,3.02,$-0.98,0.0
2024-09-30,3.36,$-1.03,0.0
2024-06-30,5.25,$-1.14,0.0
2024-03-31,5.44,$-1.30,0.0
2023-12-31,5.14,$-1.54,0.0
2023-09-30,5.39,$-1.58,0.0
2023-06-30,3.08,$-1.61,0.0
2023-03-31,4.68,$-1.55,0.0
2022-12-31,5.1,$-1.40,0.0
2022-09-30,6.28,$-1.48,0.0
2022-06-30,3.78,$-1.28,0.0
2022-03-31,6.37,$-1.04,0.0
2021-12-31,6.59,$-1.41,0.0
2021-09-30,10.38,$-3.46,0.0
2021-06-30,6.87,$-3.84,0.0
2021-03-31,6.66,$-5.19,0.0
2020-12-31,8.65,$-6.09,0.0
2020-09-30,10.83,$-7.09,0.0
2020-06-30,9.65,$-7.74,0.0
2020-03-31,7.38,$-8.46,0.0
2019-12-31,13.75,$-9.94,0.0
2019-09-30,21.36,$-12.96,0.0
2019-06-30,26.0,$-12.06,0.0
2019-03-31,39.0,$-20.05,0.0
