Firefly Neuroscience Price to Free Cash Flow Ratio Historical Data,Firefly Neuroscience Price to Free Cash Flow Ratio Historical Data,Firefly Neuroscience Price to Free Cash Flow Ratio Historical Data,Firefly Neuroscience Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.12,,0.0
2024-09-30,3.04,$-4.59,0.0
2024-06-30,6.21,$-1.37,0.0
2024-03-31,10.38,$-1.75,0.0
2023-12-31,5.07,$-4.33,0.0
2023-09-30,7.76,$-2.85,0.0
2023-06-30,9.15,$-6.82,0.0
2023-03-31,8.69,$-10.47,0.0
2022-12-31,14.4,$-11.11,0.0
2022-09-30,28.67,$-10.63,0.0
