Pool Price to Free Cash Flow Ratio Historical Data,Pool Price to Free Cash Flow Ratio Historical Data,Pool Price to Free Cash Flow Ratio Historical Data,Pool Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,320.34,,20.42
2024-12-31,340.94,$15.69,21.73
2024-09-30,375.52,$14.71,25.53
2024-06-30,305.23,$15.95,19.13
2024-03-31,399.49,$22.34,17.88
2023-12-31,393.68,$21.24,18.54
2023-09-30,350.45,$22.14,15.83
2023-06-30,367.65,$19.72,18.64
2023-03-31,334.97,$18.70,17.91
2022-12-31,294.89,$11.08,26.6
2022-09-30,309.35,$5.65,54.78
2022-06-30,340.56,$2.87,118.78
2022-03-31,409.01,$-0.24,0.0
2021-12-31,546.52,$6.81,80.2
2021-09-30,418.82,$8.32,50.35
2021-06-30,441.47,$8.26,53.48
2021-03-31,331.69,$10.59,31.32
2020-12-31,357.28,$9.20,38.84
2020-09-30,320.32,$10.31,31.07
2020-06-30,259.85,$9.69,26.81
2020-03-31,187.57,$6.23,30.1
2019-12-31,201.92,$6.49,31.09
2019-09-30,191.25,$6.83,28.02
2019-06-30,180.59,$5.47,33.0
2019-03-31,155.51,$4.04,38.54
2018-12-31,139.73,$2.09,66.91
2018-09-30,156.4,$2.00,78.26
2018-06-30,141.59,$3.50,40.49
2018-03-31,136.24,$3.00,45.42
2017-12-31,120.49,$3.20,37.63
2017-09-30,100.22,$2.19,45.69
2017-06-30,108.55,$2.20,49.34
2017-03-31,109.84,$3.07,35.74
2016-12-31,95.79,$3.05,31.42
2016-09-30,86.49,$3.97,21.8
2016-06-30,85.78,$3.37,25.49
2016-03-31,79.76,$2.90,27.5
2015-12-31,73.2,$2.64,27.7
2015-09-30,65.31,$3.09,21.15
2015-06-30,63.16,$2.03,31.16
2015-03-31,62.55,$1.75,35.81
2014-12-31,56.69,$2.30,24.66
2014-09-30,48.01,$1.49,32.21
2014-06-30,50.16,$1.36,36.93
2014-03-31,54.18,$1.83,29.64
2013-12-31,51.21,$1.82,28.19
2013-09-30,49.21,$0.65,75.84
2013-06-30,45.84,$0.73,62.43
2013-03-31,41.82,$2.03,20.57
2012-12-31,36.75,$2.14,17.18
2012-09-30,35.97,$3.15,11.43
2012-06-30,34.85,$2.27,15.34
2012-03-31,32.09,$1.19,27.05
2011-12-31,25.71,$1.14,22.63
2011-09-30,22.25,$0.85,26.15
2011-06-30,25.19,$0.61,41.64
2011-03-31,20.29,$1.40,14.47
2010-12-31,18.86,$1.71,11.02
2010-09-30,16.69,$1.67,9.97
2010-06-30,18.12,$2.02,8.96
2010-03-31,18.62,$2.62,7.11
2009-12-31,15.6,$2.16,7.21
