Versus Systems Price to Free Cash Flow Ratio Historical Data,Versus Systems Price to Free Cash Flow Ratio Historical Data,Versus Systems Price to Free Cash Flow Ratio Historical Data,Versus Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.1,,0.0
2024-09-30,1.2,$-0.68,0.0
2024-06-30,1.29,$-1.74,0.0
2024-03-31,2.08,$-1.81,0.0
2023-12-31,3.03,$-5.48,0.0
2023-09-30,0.21,$-14.25,0.0
2023-06-30,0.43,$-21.32,0.0
2023-03-31,0.55,$-51.05,0.0
2022-12-31,0.49,$-78.92,0.0
2022-09-30,2.81,$-102.24,0.0
2022-06-30,6.35,$-129.83,0.0
2022-03-31,20.25,$-180.21,0.0
2021-12-31,31.5,$-217.72,0.0
