Occidental Petroleum Price to Free Cash Flow Ratio Historical Data,Occidental Petroleum Price to Free Cash Flow Ratio Historical Data,Occidental Petroleum Price to Free Cash Flow Ratio Historical Data,Occidental Petroleum Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,47.96,,7.61
2024-12-31,49.41,$6.30,7.84
2024-09-30,51.31,$6.42,8.0
2024-06-30,62.48,$4.68,13.35
2024-03-31,64.18,$5.59,11.48
2023-12-31,58.76,$6.75,8.71
2023-09-30,63.64,$7.43,8.56
2023-06-30,57.52,$9.21,6.25
2023-03-31,60.89,$11.98,5.08
2022-12-31,61.25,$12.87,4.76
2022-09-30,59.63,$13.28,4.49
2022-06-30,57.02,$12.51,4.56
2022-03-31,54.84,$11.10,4.94
2021-12-31,27.96,$9.58,2.92
2021-09-30,28.52,$10.05,2.84
2021-06-30,30.13,$7.70,3.92
2021-03-31,25.64,$4.86,5.28
2020-12-31,16.67,$4.03,4.14
2020-09-30,9.63,$2.43,3.96
2020-06-30,17.6,$8.16,2.16
2020-03-31,11.13,$9.27,1.2
2019-12-31,37.25,$8.83,4.22
2019-09-30,39.36,$8.71,4.52
2019-06-30,43.74,$7.35,5.95
2019-03-31,56.66,$6.87,8.25
2018-12-31,51.89,$7.23,7.18
2018-09-30,68.66,$5.94,11.55
2018-06-30,69.22,$1.10,62.73
2018-03-31,53.26,$1.90,28.01
2017-12-31,59.66,$1.65,36.21
2017-09-30,51.43,$1.36,37.71
2017-06-30,47.35,$1.25,37.85
2017-03-31,49.48,$0.53,92.77
2016-12-31,54.96,$0.87,62.93
2016-09-30,55.64,$0.67,82.77
2016-06-30,57.1,$0.46,125.49
2016-03-31,51.2,$-1.01,0.0
2015-12-31,50.0,$-2.51,0.0
2015-09-30,48.38,$-2.51,0.0
2015-06-30,56.27,$-1.57,0.0
2015-03-31,52.31,$0.15,350.86
2014-12-31,57.22,$2.74,20.9
2014-09-30,65.06,$5.61,11.6
2014-06-30,68.94,$6.42,10.74
2014-03-31,63.55,$7.08,8.98
2013-12-31,62.96,$6.74,9.34
2013-09-30,61.5,$7.28,8.45
2013-06-30,58.25,$5.62,10.37
2013-03-31,50.81,$4.59,11.07
2012-12-31,49.28,$4.23,11.65
2012-09-30,54.96,$2.31,23.75
2012-06-30,54.43,$3.68,14.78
2012-03-31,60.05,$5.19,11.57
2011-12-31,58.76,$5.86,10.03
2011-09-30,44.63,$6.31,7.07
2011-06-30,64.59,$6.72,9.6
2011-03-31,64.58,$6.22,10.38
2010-12-31,60.35,$6.91,8.73
2010-09-30,47.97,$6.97,6.88
2010-06-30,47.03,$6.34,7.41
2010-03-31,51.3,$5.47,9.38
2009-12-31,49.16,$3.32,14.81
