Rhinebeck Bancorp Price to Free Cash Flow Ratio Historical Data,Rhinebeck Bancorp Price to Free Cash Flow Ratio Historical Data,Rhinebeck Bancorp Price to Free Cash Flow Ratio Historical Data,Rhinebeck Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.41,,15.5
2024-09-30,9.25,$0.67,13.78
2024-06-30,7.86,$1.22,6.46
2024-03-31,8.45,$0.24,35.85
2023-12-31,8.05,$0.60,13.51
2023-09-30,6.77,$0.47,14.28
2023-06-30,6.73,$0.77,8.78
2023-03-31,7.65,$0.89,8.58
2022-12-31,9.11,$1.24,7.34
2022-09-30,9.75,$1.50,6.5
2022-06-30,9.25,$1.26,7.33
2022-03-31,10.16,$0.95,10.69
2021-12-31,10.66,$0.54,19.87
2021-09-30,10.9,$1.18,9.23
2021-06-30,10.95,$1.21,9.06
2021-03-31,10.35,$1.12,9.25
2020-12-31,8.55,$1.21,7.08
2020-09-30,6.32,$0.73,8.7
2020-06-30,6.56,$0.75,8.74
2020-03-31,6.4,$1.10,5.84
2019-12-31,11.31,$0.89,12.72
