Linde Price to Free Cash Flow Ratio Historical Data,Linde Price to Free Cash Flow Ratio Historical Data,Linde Price to Free Cash Flow Ratio Historical Data,Linde Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,457.75,,44.8
2024-12-31,418.67,$10.22,40.97
2024-09-30,476.86,$10.18,46.83
2024-06-30,438.81,$9.93,44.19
2024-03-31,464.32,$10.90,42.61
2023-12-31,410.71,$11.21,36.64
2023-09-30,372.35,$10.27,36.24
2023-06-30,381.08,$10.83,35.18
2023-03-31,355.44,$10.83,32.83
2022-12-31,326.18,$11.29,28.89
2022-09-30,269.59,$13.60,19.82
2022-06-30,286.33,$13.34,21.46
2022-03-31,316.98,$12.81,24.75
2021-12-31,342.36,$12.72,26.91
2021-09-30,288.99,$10.80,26.75
2021-06-30,283.82,$9.34,30.38
2021-03-31,274.06,$9.12,30.03
2020-12-31,256.68,$7.59,33.84
2020-09-30,231.07,$7.06,32.72
2020-06-30,205.06,$6.68,30.68
2020-03-31,166.48,$5.08,32.79
2019-12-31,204.87,$4.47,45.83
2019-09-30,185.6,$3.22,57.72
2019-06-30,191.5,$3.21,59.63
2019-03-31,166.97,$4.46,37.42
2018-12-31,147.33,$5.30,27.8
2018-09-30,150.96,$6.16,24.52
2018-06-30,147.8,$6.11,24.19
2018-03-31,134.17,$5.90,22.74
2017-12-31,143.05,$5.98,23.91
2017-09-30,128.56,$5.43,23.7
2017-06-30,121.95,$5.22,23.37
2017-03-31,109.11,$5.13,21.26
2016-12-31,107.1,$4.60,23.28
2016-09-30,109.74,$4.82,22.77
2016-06-30,102.07,$4.35,23.45
2016-03-31,103.24,$4.41,23.39
2015-12-31,92.37,$3.99,23.14
2015-09-30,91.89,$3.65,25.16
2015-06-30,107.84,$3.66,29.5
2015-03-31,108.92,$3.95,27.56
2014-12-31,116.22,$4.05,28.68
2014-09-30,115.72,$4.51,25.68
2014-06-30,119.17,$4.84,24.6
2014-03-31,117.49,$3.46,33.94
2013-12-31,116.06,$3.00,38.68
2013-09-30,106.78,$2.48,43.14
2013-06-30,101.77,$1.83,55.47
2013-03-31,98.06,$2.18,44.93
2012-12-31,95.72,$1.90,50.51
2012-09-30,90.38,$1.63,55.33
2012-06-30,94.1,$1.87,50.2
2012-03-31,98.69,$1.80,54.92
2011-12-31,91.56,$2.15,42.68
2011-09-30,79.67,$0.92,86.52
2011-06-30,91.91,$0.89,103.2
2011-03-31,85.72,$1.11,76.91
2010-12-31,80.14,$1.66,48.27
2010-09-30,75.41,$3.31,22.8
2010-06-30,63.16,$3.12,20.24
2010-03-31,68.58,$3.06,22.42
2009-12-31,65.97,$2.61,25.25
