Mangoceuticals Price to Free Cash Flow Ratio Historical Data,Mangoceuticals Price to Free Cash Flow Ratio Historical Data,Mangoceuticals Price to Free Cash Flow Ratio Historical Data,Mangoceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.35,,0.0
2024-12-31,2.42,$-2.42,0.0
2024-09-30,0.24,$-3.35,0.0
2024-06-30,0.3,$-4.54,0.0
2024-03-31,0.22,$-4.76,0.0
2023-12-31,0.28,$-6.52,0.0
