Argo Blockchain Price to Free Cash Flow Ratio Historical Data,Argo Blockchain Price to Free Cash Flow Ratio Historical Data,Argo Blockchain Price to Free Cash Flow Ratio Historical Data,Argo Blockchain Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.39,,4.14
2024-09-30,1.21,$0.09,12.98
2024-03-31,2.17,$0.13,16.4
2023-12-31,3.74,0,0.0
2023-09-30,1.0,$-0.07,0.0
2023-03-31,1.67,$-0.06,0.0
2022-09-30,3.87,0,0.0
