DallasNews Price to Free Cash Flow Ratio Historical Data,DallasNews Price to Free Cash Flow Ratio Historical Data,DallasNews Price to Free Cash Flow Ratio Historical Data,DallasNews Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.67,,0.0
2024-09-30,4.19,$-1.69,0.0
2024-06-30,3.59,$-0.62,0.0
2024-03-31,3.82,$-0.83,0.0
2023-12-31,4.25,$-0.43,0.0
2023-09-30,4.43,$-1.02,0.0
2023-06-30,3.74,$-2.82,0.0
2023-03-31,4.25,$-3.00,0.0
2022-12-31,3.59,$-2.91,0.0
2022-09-30,4.31,$-2.35,0.0
2022-06-30,5.75,$-1.45,0.0
2022-03-31,6.21,$-0.78,0.0
2021-12-31,6.26,$-1.22,0.0
2021-09-30,5.77,$-1.02,0.0
2021-06-30,6.11,$-0.42,0.0
2021-03-31,1.73,$-0.42,0.0
2020-12-31,1.25,$-0.42,0.0
2020-09-30,1.14,$-0.88,0.0
2020-06-30,1.37,$-0.49,0.0
2020-03-31,1.36,$0.62,2.2
2019-12-31,2.17,$0.63,3.45
2019-09-30,2.88,$0.94,3.07
2019-06-30,2.84,$1.05,2.69
2019-03-31,2.8,$0.82,3.42
2018-12-31,2.49,$1.12,2.23
2018-09-30,3.4,$3.64,0.93
2018-06-30,3.47,$0.54,6.43
2018-03-31,3.8,$-0.80,0.0
2017-12-31,3.49,$-0.52,0.0
2017-09-30,3.29,$-2.12,0.0
2017-06-30,3.87,$-0.11,0.0
2017-03-31,4.33,$1.59,2.72
2016-12-31,4.47,$1.23,3.63
2016-09-30,5.1,$0.69,7.35
2016-06-30,3.47,$0.73,4.77
2016-03-31,3.34,$0.24,13.79
2015-12-31,3.42,$-1.22,0.0
2015-09-30,3.32,$-6.00,0.0
2015-06-30,3.71,$-5.31,0.0
2015-03-31,5.46,$-6.54,0.0
2014-12-31,6.82,$-4.40,0.0
2014-09-30,5.8,$1.40,4.15
2014-06-30,6.44,$0.88,7.3
2014-03-31,5.55,$2.22,2.51
2013-12-31,3.55,$1.81,1.96
2013-09-30,3.69,$0.98,3.76
2013-06-30,3.19,$1.79,1.78
2013-03-31,2.69,$-1.37,0.0
2012-12-31,2.12,$-1.41,0.0
2012-09-30,2.06,$1.28,1.61
2012-06-30,1.69,$0.15,11.29
2012-03-31,2.03,$2.44,0.83
2011-12-31,1.95,$-4.10,0.0
2011-09-30,1.71,$-5.83,0.0
2011-06-30,2.99,$-1.83,0.0
2011-03-31,3.33,$1.43,2.33
2010-12-31,3.42,$11.51,0.3
2010-09-30,2.75,$12.29,0.22
2010-06-30,2.58,$9.20,0.28
2010-03-31,2.8,$8.53,0.33
2009-12-31,2.24,$3.77,0.59
