Gain Therapeutics Price to Free Cash Flow Ratio Historical Data,Gain Therapeutics Price to Free Cash Flow Ratio Historical Data,Gain Therapeutics Price to Free Cash Flow Ratio Historical Data,Gain Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.29,,0.0
2024-09-30,1.78,$-0.99,0.0
2024-06-30,1.28,$-1.19,0.0
2024-03-31,3.77,$-1.30,0.0
2023-12-31,3.27,$-1.45,0.0
2023-09-30,3.28,$-1.37,0.0
2023-06-30,4.48,$-1.36,0.0
2023-03-31,4.82,$-1.39,0.0
2022-12-31,3.13,$-1.25,0.0
2022-09-30,3.26,$-1.44,0.0
2022-06-30,3.6,$-1.35,0.0
2022-03-31,4.09,$-0.85,0.0
2021-12-31,5.43,$-1.23,0.0
