INmune Bio Price to Free Cash Flow Ratio Historical Data,INmune Bio Price to Free Cash Flow Ratio Historical Data,INmune Bio Price to Free Cash Flow Ratio Historical Data,INmune Bio Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.14,,0.0
2024-09-30,5.39,$-1.30,0.0
2024-06-30,8.82,$-1.22,0.0
2024-03-31,11.75,$-1.02,0.0
2023-12-31,11.26,$-0.67,0.0
2023-09-30,6.77,$-0.80,0.0
2023-06-30,9.08,$-0.75,0.0
2023-03-31,6.46,$-0.83,0.0
2022-12-31,6.34,$-1.27,0.0
2022-09-30,6.2,$-1.63,0.0
2022-06-30,8.84,$-1.80,0.0
2022-03-31,8.42,$-1.91,0.0
2021-12-31,10.2,$-1.77,0.0
2021-09-30,19.42,$-1.32,0.0
2021-06-30,17.57,$-1.20,0.0
2021-03-31,11.88,$-1.01,0.0
2020-12-31,17.22,$-0.75,0.0
2020-09-30,10.31,$-0.57,0.0
2020-06-30,5.25,$-0.49,0.0
2020-03-31,3.33,$-0.47,0.0
2019-12-31,5.8,$-0.52,0.0
