ODDITY Tech Price to Free Cash Flow Ratio Historical Data,ODDITY Tech Price to Free Cash Flow Ratio Historical Data,ODDITY Tech Price to Free Cash Flow Ratio Historical Data,ODDITY Tech Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,43.24,,20.58
2024-12-31,42.02,$2.10,20.0
2024-09-30,40.38,$2.04,19.8
2024-06-30,39.26,$3.03,12.94
