Victory Capital Holdings Price to Free Cash Flow Ratio Historical Data,Victory Capital Holdings Price to Free Cash Flow Ratio Historical Data,Victory Capital Holdings Price to Free Cash Flow Ratio Historical Data,Victory Capital Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,60.25,,11.73
2024-12-31,65.46,$5.14,12.74
2024-09-30,55.03,$5.13,10.74
2024-06-30,47.03,$4.97,9.46
2024-03-31,41.5,$4.89,8.49
2023-12-31,33.4,$4.77,7.01
2023-09-30,32.02,$4.28,7.49
2023-06-30,30.01,$4.37,6.87
2023-03-31,27.58,$4.48,6.16
2022-12-31,25.02,$4.57,5.48
2022-09-30,21.54,$5.12,4.21
2022-06-30,22.08,$4.99,4.42
2022-03-31,26.2,$4.83,5.42
2021-12-31,32.88,$4.90,6.71
2021-09-30,31.36,$4.35,7.21
2021-06-30,28.8,$3.85,7.48
2021-03-31,22.71,$3.67,6.19
2020-12-31,21.96,$3.29,6.67
2020-09-30,14.91,$3.18,4.69
2020-06-30,15.12,$3.95,3.83
2020-03-31,14.35,$3.47,4.13
2019-12-31,18.33,$3.02,6.06
2019-09-30,13.41,$2.74,4.9
2019-06-30,14.94,$1.72,8.69
2019-03-31,13.06,$1.73,7.55
2018-12-31,8.89,$1.87,4.75
