Avalon Holdings Price to Free Cash Flow Ratio Historical Data,Avalon Holdings Price to Free Cash Flow Ratio Historical Data,Avalon Holdings Price to Free Cash Flow Ratio Historical Data,Avalon Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.0,,10.38
2024-12-31,3.87,$0.29,13.39
2024-09-30,2.55,$0.45,5.7
2024-06-30,2.2,$0.28,7.93
2024-03-31,2.23,$-0.16,0.0
2023-12-31,2.39,$-0.40,0.0
2023-09-30,1.94,$-0.34,0.0
2023-06-30,2.55,$-0.68,0.0
2023-03-31,2.65,$-0.85,0.0
2022-12-31,2.75,$-1.06,0.0
2022-09-30,2.65,$-1.21,0.0
2022-06-30,2.6,$-0.80,0.0
2022-03-31,3.28,$-0.85,0.0
2021-12-31,3.61,$-0.52,0.0
2021-09-30,3.89,$-0.43,0.0
2021-06-30,4.69,$-0.45,0.0
2021-03-31,3.67,$-0.25,0.0
2020-12-31,2.6,$-0.50,0.0
2020-09-30,1.75,$-0.74,0.0
2020-06-30,1.61,$-0.99,0.0
2020-03-31,1.29,$-1.25,0.0
2019-12-31,1.92,$-1.02,0.0
2019-09-30,2.21,$-0.95,0.0
2019-06-30,2.49,$-0.52,0.0
2019-03-31,2.58,$-0.27,0.0
2018-12-31,2.65,$-0.01,0.0
2018-09-30,3.72,$0.18,21.22
2018-06-30,2.16,$0.33,6.46
2018-03-31,2.2,$0.26,8.39
2017-12-31,2.0,$-0.14,0.0
2017-09-30,2.0,$0.16,12.37
2017-06-30,2.43,$0.05,51.59
2017-03-31,2.38,$-0.10,0.0
2016-12-31,2.95,$-0.11,0.0
2016-09-30,2.95,$-0.41,0.0
2016-06-30,2.33,$-0.72,0.0
2016-03-31,1.88,$-1.24,0.0
2015-12-31,1.89,$-1.74,0.0
2015-09-30,1.92,$-2.43,0.0
2015-06-30,2.4,$-2.22,0.0
2015-03-31,2.75,$-1.81,0.0
2014-12-31,2.62,$-1.77,0.0
2014-09-30,3.72,$-1.43,0.0
2014-06-30,4.31,$-1.24,0.0
2014-03-31,5.22,$-0.94,0.0
2013-12-31,5.2,$-0.27,0.0
2013-09-30,5.38,$0.45,12.07
2013-06-30,3.74,$0.41,9.1
2013-03-31,4.12,$0.02,168.85
2012-12-31,3.82,$0.15,25.67
2012-09-30,3.85,$0.23,16.72
2012-06-30,3.65,$0.21,17.1
2012-03-31,5.6,$0.38,14.59
2011-12-31,2.9,$0.46,6.34
2011-09-30,2.24,$0.08,27.25
2011-06-30,2.75,$0.13,21.22
2011-03-31,2.82,$0.16,17.43
2010-12-31,2.73,$-0.08,0.0
2010-09-30,2.9,$0.04,73.98
2010-06-30,2.5,$-0.07,0.0
2010-03-31,3.41,$0.03,135.32
2009-12-31,2.1,$0.74,2.85
