First United Price to Free Cash Flow Ratio Historical Data,First United Price to Free Cash Flow Ratio Historical Data,First United Price to Free Cash Flow Ratio Historical Data,First United Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,31.27,,11.42
2024-09-30,29.63,$2.74,10.82
2024-06-30,20.11,$3.92,5.13
2024-03-31,22.36,$3.48,6.43
2023-12-31,22.74,$3.46,6.57
2023-09-30,15.5,$3.54,4.38
2023-06-30,13.46,$3.41,3.95
2023-03-31,15.72,$3.57,4.4
2022-12-31,18.16,$3.49,5.2
2022-09-30,15.16,$3.75,4.04
2022-06-30,17.04,$3.17,5.38
2022-03-31,20.33,$2.17,9.35
2021-12-31,16.8,$2.82,5.96
2021-09-30,16.53,$2.50,6.6
2021-06-30,15.35,$2.74,5.6
2021-03-31,15.38,$2.76,5.57
2020-12-31,13.43,$2.08,6.46
2020-09-30,10.04,$2.32,4.33
2020-06-30,11.31,$1.96,5.76
2020-03-31,12.0,$2.09,5.74
2019-12-31,20.12,$1.75,11.51
2019-09-30,18.27,$1.73,10.59
2019-06-30,16.3,$1.15,14.15
2019-03-31,14.2,$1.17,12.14
2018-12-31,13.03,$1.24,10.47
2018-09-30,15.31,$1.22,12.57
2018-06-30,16.58,$0.99,16.78
2018-03-31,15.49,$1.36,11.36
2017-12-31,14.04,$1.05,13.32
2017-09-30,13.43,$0.34,39.51
2017-06-30,12.02,$0.98,12.26
2017-03-31,11.7,$0.52,22.32
2016-12-31,12.87,$1.25,10.3
2016-09-30,9.99,$2.72,3.67
2016-06-30,7.94,$2.91,2.73
2016-03-31,8.83,$3.57,2.47
2015-12-31,9.44,$3.34,2.83
2015-09-30,6.62,$1.39,4.75
2015-06-30,6.99,$1.28,5.48
2015-03-31,7.37,$1.59,4.64
2014-12-31,6.9,$0.51,13.55
2014-09-30,6.4,$0.89,7.18
2014-06-30,7.08,$1.59,4.46
2014-03-31,6.13,$1.98,3.1
2013-12-31,6.19,$3.09,2.0
2013-09-30,6.62,$3.49,1.9
2013-06-30,6.13,$3.18,1.93
2013-03-31,6.69,$2.70,2.47
2012-12-31,5.78,$2.92,1.98
2012-09-30,5.08,$4.48,1.13
2012-06-30,3.48,$4.31,0.81
2012-03-31,4.84,$10.30,0.47
2011-12-31,2.55,$10.17,0.25
2011-09-30,2.95,$7.72,0.38
2011-06-30,4.01,$7.36,0.54
2011-03-31,2.49,$22.07,0.11
2010-12-31,2.77,$22.43,0.12
2010-09-30,3.35,$19.85,0.17
2010-06-30,3.13,$20.59,0.15
2010-03-31,4.81,$-0.11,0.0
2009-12-31,4.73,$0.24,19.57
