North American Construction Group Price to Free Cash Flow Ratio Historical Data,North American Construction Group Price to Free Cash Flow Ratio Historical Data,North American Construction Group Price to Free Cash Flow Ratio Historical Data,North American Construction Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,16.57,,143.22
2024-09-30,18.59,$0.12,160.64
2024-06-30,19.09,$0.21,91.21
2024-03-31,22.06,$0.62,35.43
2023-12-31,20.58,$1.75,11.77
2023-09-30,21.37,$1.16,18.45
2023-06-30,18.76,$1.14,16.49
2023-03-31,16.31,$1.32,12.39
2022-12-31,13.0,$1.38,9.41
2022-09-30,9.27,$1.23,7.54
2022-06-30,10.63,$1.44,7.39
2022-03-31,13.84,$1.29,10.73
2021-12-31,14.41,$1.64,8.79
2021-09-30,14.02,$1.48,9.48
2021-06-30,14.43,$0.81,17.78
2021-03-31,10.19,$0.91,11.16
2020-12-31,9.34,$0.76,12.29
2020-09-30,6.14,$1.01,6.06
2020-06-30,5.88,$0.58,10.09
2020-03-31,4.75,$0.15,30.82
2019-12-31,11.29,$0.12,91.45
2019-09-30,10.71,$-3.60,0.0
2019-06-30,10.0,$-3.02,0.0
2019-03-31,10.77,$-2.64,0.0
2018-12-31,8.22,$-2.26,0.0
2018-09-30,9.05,$0.16,56.77
2018-06-30,5.49,$0.38,14.43
2018-03-31,4.88,$0.61,8.01
2017-12-31,4.54,$0.44,10.42
2017-09-30,3.97,$0.68,5.89
2017-06-30,4.0,$0.76,5.24
2017-03-31,4.49,$0.71,6.32
2016-12-31,3.48,$0.70,4.95
2016-09-30,2.25,$0.75,2.99
2016-06-30,2.53,$0.91,2.77
2016-03-31,1.82,$1.32,1.38
2015-12-31,1.53,$1.13,1.35
2015-09-30,1.91,$1.51,1.26
2015-06-30,2.12,$0.59,3.56
2015-03-31,2.52,$0.29,8.66
2014-12-31,2.7,$0.50,5.41
2014-09-30,5.52,$2.05,2.7
2014-06-30,6.88,$2.92,2.36
2014-03-31,6.14,$1.55,3.96
2013-12-31,4.94,$2.00,2.47
2013-09-30,4.63,$0.01,0.0
2013-06-30,3.6,$0.37,9.68
2013-03-31,3.86,$1.00,3.84
2012-12-31,2.89,$0.23,12.65
2012-09-30,2.45,$0.76,3.23
2012-06-30,2.19,$-0.77,0.0
2012-03-31,4.17,$0.51,8.22
2011-12-31,5.48,$-0.53,0.0
2011-09-30,4.95,$-2.05,0.0
2011-06-30,6.51,$-1.34,0.0
2011-03-31,10.48,$-1.84,0.0
2010-12-31,10.42,$-1.08,0.0
2010-09-30,6.93,$-0.05,0.0
2010-06-30,7.51,$0.33,22.61
2010-03-31,8.15,$-2.66,0.0
2009-12-31,6.17,$-0.58,0.0
