Dillard's Price to Free Cash Flow Ratio Historical Data,Dillard's Price to Free Cash Flow Ratio Historical Data,Dillard's Price to Free Cash Flow Ratio Historical Data,Dillard's Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,359.62,,8.83
2024-10-31,350.83,$40.73,8.61
2024-07-31,376.15,$32.53,11.56
2024-04-30,413.09,$44.01,9.39
2024-01-31,365.06,$45.83,7.97
2023-10-31,278.12,$42.39,6.56
2023-07-31,307.08,$56.17,5.47
2023-04-30,266.95,$44.51,6.0
2023-01-31,351.63,$48.63,7.23
2022-10-31,280.41,$52.34,5.36
2022-07-31,193.75,$48.58,3.99
2022-04-30,258.69,$62.95,4.11
2022-01-31,215.88,$58.52,3.69
2021-10-31,188.23,$47.34,3.98
2021-07-31,149.1,$45.70,3.26
2021-04-30,80.4,$28.59,2.81
2021-01-31,71.26,$8.55,8.34
2020-10-31,36.22,$7.46,4.85
2020-07-31,18.98,$-1.48,0.0
2020-04-30,23.63,$4.27,5.54
2020-01-31,48.49,$11.52,4.21
2019-10-31,54.97,$9.02,6.09
2019-07-31,57.86,$10.75,5.38
2019-04-30,54.33,$9.49,5.73
2019-01-31,52.94,$8.50,6.23
2018-10-31,55.72,$5.07,11.0
2018-07-31,63.43,$3.06,20.73
2018-04-30,58.85,$4.36,13.51
2018-01-31,53.27,$5.27,10.1
2017-10-31,39.99,$8.98,4.45
2017-07-31,58.01,$9.20,6.31
2017-04-30,43.45,$13.40,3.24
2017-01-31,44.24,$11.91,3.71
2016-10-31,47.99,$10.55,4.55
2016-07-31,52.92,$9.89,5.35
2016-04-30,55.03,$6.82,8.06
2016-01-31,54.95,$7.95,6.92
2015-10-31,69.76,$7.74,9.01
2015-07-31,79.36,$8.90,8.91
2015-04-30,102.45,$9.04,11.33
2015-01-31,88.4,$11.14,7.94
2014-10-31,82.26,$8.91,9.23
2014-07-31,92.68,$8.58,10.8
2014-04-30,76.09,$9.48,8.02
2014-01-31,67.79,$9.33,7.27
2013-10-31,63.62,$8.82,7.21
2013-07-31,65.47,$9.38,6.98
2013-04-30,63.86,$10.49,6.09
2013-01-31,65.37,$8.53,7.67
2012-10-31,56.21,$8.65,6.5
2012-07-31,47.59,$7.52,6.33
2012-04-30,47.06,$8.08,5.83
2012-01-31,32.23,$7.63,4.22
2011-10-31,37.49,$6.53,5.74
2011-07-31,40.89,$6.93,5.9
2011-04-30,34.87,$6.16,5.66
2011-01-31,28.81,$6.44,4.48
2010-10-31,18.49,$5.06,3.65
2010-07-31,16.74,$5.54,3.02
2010-04-30,20.28,$7.13,2.85
2010-01-31,11.94,$6.65,1.8
2009-10-31,9.8,$6.03,1.62
