Gogoro Price to Free Cash Flow Ratio Historical Data,Gogoro Price to Free Cash Flow Ratio Historical Data,Gogoro Price to Free Cash Flow Ratio Historical Data,Gogoro Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.36,,0.0
2024-09-30,0.53,$-0.22,0.0
2024-06-30,1.54,$-0.17,0.0
2024-03-31,1.84,$-0.25,0.0
2023-12-31,2.58,$-0.24,0.0
2023-09-30,2.62,$-0.31,0.0
2023-06-30,3.45,$-0.55,0.0
2023-03-31,4.05,$-0.98,0.0
