PHX Minerals Price to Free Cash Flow Ratio Historical Data,PHX Minerals Price to Free Cash Flow Ratio Historical Data,PHX Minerals Price to Free Cash Flow Ratio Historical Data,PHX Minerals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.1,,8.06
2024-12-31,4.0,$0.51,7.86
2024-09-30,3.34,$0.53,6.26
2024-06-30,3.19,$0.57,5.61
2024-03-31,3.33,$0.58,5.78
2023-12-31,3.12,$0.93,3.35
2023-09-30,3.49,$-0.22,0.0
2023-06-30,2.97,$0.09,31.57
2023-03-31,2.48,$0.22,11.14
2022-12-31,3.65,$0.00,0.0
2022-09-30,3.03,$1.43,2.12
2022-06-30,2.82,$0.58,4.89
2022-03-31,2.82,$0.48,5.87
2021-12-31,1.99,$0.39,5.06
2021-09-30,2.8,$0.02,183.99
2021-06-30,3.39,$-0.42,0.0
2021-03-31,2.6,$-0.36,0.0
2020-12-31,2.08,$0.02,136.89
2020-09-30,1.29,$0.33,3.96
2020-06-30,2.4,$-0.33,0.0
2020-03-31,3.3,$0.06,54.66
2019-12-31,9.95,$0.33,30.62
2019-09-30,12.37,$0.69,17.99
2019-06-30,11.5,$1.25,9.21
2019-03-31,13.8,$0.93,14.81
2018-12-31,13.59,$0.69,19.77
2018-09-30,16.14,$0.16,98.72
2018-06-30,16.67,$1.22,13.64
2018-03-31,16.82,$0.61,27.53
2017-12-31,17.87,$0.16,109.28
2017-09-30,20.65,$0.09,231.02
2017-06-30,20.0,$-1.14,0.0
2017-03-31,16.59,$-0.47,0.0
2016-12-31,20.31,$0.09,227.21
2016-09-30,15.09,$0.58,26.21
2016-06-30,14.32,$0.81,17.59
2016-03-31,14.84,$0.81,18.3
2015-12-31,13.81,$0.58,23.98
2015-09-30,13.78,$0.02,815.55
2015-06-30,17.61,$0.25,70.92
2015-03-31,16.81,$0.23,72.21
2014-12-31,19.74,$0.02,1168.26
2014-09-30,25.27,$0.12,211.8
2014-06-30,23.68,$0.44,54.28
2014-03-31,18.41,$0.16,117.08
2013-12-31,14.07,$0.12,117.94
2013-09-30,11.88,$0.02,678.79
2013-06-30,11.94,$-0.02,0.0
2013-03-31,11.98,$0.05,261.52
2012-12-31,11.77,$0.02,672.67
2012-09-30,12.76,$0.09,139.86
2012-06-30,12.51,$0.18,69.95
2012-03-31,12.2,$0.13,95.76
2011-12-31,13.51,$0.09,148.19
2011-09-30,11.66,$0.12,97.67
2011-06-30,12.09,$-0.41,0.0
2011-03-31,12.95,$-0.12,0.0
2010-12-31,11.19,$0.12,93.72
2010-09-30,10.05,$0.13,74.55
2010-06-30,10.72,$1.03,10.44
2010-03-31,9.56,$0.84,11.33
2009-12-31,10.45,$0.13,77.55
