CarGurus Price to Free Cash Flow Ratio Historical Data,CarGurus Price to Free Cash Flow Ratio Historical Data,CarGurus Price to Free Cash Flow Ratio Historical Data,CarGurus Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,29.87,,19.65
2024-12-31,36.54,$1.52,24.04
2024-09-30,30.03,$0.79,37.94
2024-06-30,26.2,$0.56,47.06
2024-03-31,23.08,$0.38,61.33
2023-12-31,24.16,$0.73,32.93
2023-09-30,17.52,$1.63,10.74
2023-06-30,22.63,$1.93,11.72
2023-03-31,18.68,$1.63,11.47
2022-12-31,14.01,$1.86,7.52
2022-09-30,14.17,$0.80,17.79
2022-06-30,21.49,$0.77,28.0
2022-03-31,42.46,$1.12,37.84
2021-12-31,33.64,$0.72,46.68
2021-09-30,31.41,$1.45,21.62
2021-06-30,26.23,$1.67,15.75
2021-03-31,23.83,$1.59,14.96
2020-12-31,31.73,$1.31,24.21
2020-09-30,21.63,$1.07,20.16
2020-06-30,25.35,$0.62,40.59
2020-03-31,18.94,$0.54,35.24
2019-12-31,35.18,$0.49,71.4
2019-09-30,30.95,$0.43,71.21
2019-06-30,36.11,$0.33,108.7
2019-03-31,40.06,$0.37,107.98
2018-12-31,33.73,$0.39,86.42
2018-09-30,55.69,$0.58,95.75
