Allegion Price to Free Cash Flow Ratio Historical Data,Allegion Price to Free Cash Flow Ratio Historical Data,Allegion Price to Free Cash Flow Ratio Historical Data,Allegion Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,127.72,,19.19
2024-12-31,130.68,$6.65,19.64
2024-09-30,145.74,$6.64,21.93
2024-06-30,117.75,$5.70,20.65
2024-03-31,133.7,$5.59,23.91
2023-12-31,125.28,$5.85,21.42
2023-09-30,102.65,$5.55,18.48
2023-06-30,117.73,$5.67,20.75
2023-03-31,104.29,$4.87,21.4
2022-12-31,102.42,$4.48,22.87
2022-09-30,86.93,$3.83,22.72
2022-06-30,94.48,$3.10,30.48
2022-03-31,105.51,$3.87,27.24
2021-12-31,126.84,$4.90,25.9
2021-09-30,126.24,$5.64,22.37
2021-06-30,132.7,$6.41,20.69
2021-03-31,119.36,$5.73,20.83
2020-12-31,110.25,$4.78,23.08
2020-09-30,93.43,$4.80,19.48
2020-06-30,96.25,$4.78,20.15
2020-03-31,86.38,$4.95,17.46
2019-12-31,116.52,$4.48,26.0
2019-09-30,96.76,$4.33,22.34
2019-06-30,102.93,$4.07,25.29
2019-03-31,84.24,$4.21,20.03
2018-12-31,73.8,$4.27,17.28
2018-09-30,83.66,$4.07,20.57
2018-06-30,71.28,$3.68,19.36
2018-03-31,78.39,$3.41,22.96
2017-12-31,72.94,$3.10,23.51
2017-09-30,79.13,$3.31,23.89
2017-06-30,74.09,$3.03,24.47
2017-03-31,69.0,$3.04,22.73
2016-12-31,58.21,$3.46,16.83
2016-09-30,62.56,$2.84,22.05
2016-06-30,62.92,$3.02,20.86
2016-03-31,57.63,$2.26,25.51
2015-12-31,59.52,$2.29,25.97
2015-09-30,51.98,$1.77,29.41
2015-06-30,54.13,$1.87,28.94
2015-03-31,54.97,$2.16,25.45
2014-12-31,49.75,$2.11,23.6
2014-09-30,42.67,$3.91,10.91
