RPM Price to Free Cash Flow Ratio Historical Data,RPM Price to Free Cash Flow Ratio Historical Data,RPM Price to Free Cash Flow Ratio Historical Data,RPM Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,114.03,,22.3
2024-11-30,138.78,$5.11,27.14
2024-08-31,115.81,$6.23,18.59
2024-05-31,111.23,$7.08,15.72
2024-02-29,113.96,$8.11,14.05
2023-11-30,101.27,$7.19,14.08
2023-08-31,97.67,$5.16,18.94
2023-05-31,77.78,$2.50,31.05
2023-02-28,85.95,$-0.11,0.0
2022-11-30,99.99,$-0.58,0.0
2022-08-31,89.47,$-0.79,0.0
2022-05-31,84.2,$-0.34,0.0
2022-02-28,80.46,$0.93,86.64
2021-11-30,86.24,$1.63,52.96
2021-08-31,77.58,$2.76,28.07
2021-05-31,87.8,$4.72,18.59
2021-02-28,74.45,$5.20,14.33
2020-11-30,81.91,$5.26,15.57
2020-08-31,78.56,$4.40,17.84
2020-05-31,68.98,$3.09,22.29
2020-02-29,58.81,$2.82,20.85
2019-11-30,67.3,$2.25,29.94
2019-08-31,61.45,$2.26,27.18
2019-05-31,48.33,$1.16,41.56
2019-02-28,51.96,$1.95,26.58
2018-11-30,58.82,$2.18,26.95
2018-08-31,59.85,$2.07,28.88
2018-05-31,43.65,$2.01,21.71
2018-02-28,43.61,$1.73,25.25
2017-11-30,46.14,$1.59,28.97
2017-08-31,42.39,$1.68,25.24
2017-05-31,46.69,$1.92,24.27
2017-02-28,45.61,$2.02,22.58
2016-11-30,45.03,$2.47,18.24
2016-08-31,46.12,$2.58,17.89
2016-05-31,42.22,$2.62,16.15
2016-02-29,34.18,$3.30,10.34
2015-11-30,39.04,$2.60,15.04
2015-08-31,36.21,$2.79,12.96
2015-05-31,41.09,$1.82,22.62
2015-02-28,41.29,$1.43,28.79
2014-11-30,38.75,$1.70,22.73
2014-08-31,38.05,$1.45,26.19
2014-05-31,34.59,$1.39,24.82
2014-02-28,33.43,$0.95,35.37
2013-11-30,31.44,$1.29,24.36
2013-08-31,26.81,$1.02,26.28
2013-05-31,25.96,$2.13,12.16
2013-02-28,23.66,$1.79,13.2
2012-11-30,22.39,$1.77,12.67
2012-08-31,20.98,$1.75,11.96
2012-05-31,20.01,$1.73,11.54
2012-02-29,17.97,$1.15,15.57
2011-11-30,17.6,$0.95,18.56
2011-08-31,15.39,$1.27,12.08
2011-05-31,17.19,$1.55,11.1
2011-02-28,16.65,$1.35,12.33
2010-11-30,14.71,$1.36,10.79
2010-08-31,12.02,$1.33,9.07
2010-05-31,13.93,$1.41,9.85
2010-02-28,13.41,$2.26,5.93
2009-11-30,13.52,$3.03,4.47
