"Controladora Vuela Compania De Aviacion, S.A.B De C.V Price to Free Cash Flow Ratio Historical Data","Controladora Vuela Compania De Aviacion, S.A.B De C.V Price to Free Cash Flow Ratio Historical Data","Controladora Vuela Compania De Aviacion, S.A.B De C.V Price to Free Cash Flow Ratio Historical Data","Controladora Vuela Compania De Aviacion, S.A.B De C.V Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.59,,1.51
2024-06-30,6.36,$3.70,1.72
2024-03-31,7.42,$2.46,3.01
2023-12-31,9.38,$2.15,4.37
2023-09-30,6.79,$2.88,2.36
2023-06-30,13.95,$2.42,5.76
2023-03-31,12.44,$2.41,5.17
2022-12-31,8.36,$2.30,3.63
2022-09-30,6.99,$3.83,1.83
2022-06-30,10.27,$0.68,15.01
2022-03-31,18.19,$1.53,11.89
2021-03-31,14.26,$-0.07,0.0
2020-12-31,12.42,$1.33,9.35
2020-09-30,7.21,$4.18,1.73
2020-06-30,5.28,$2.53,2.09
2020-03-31,3.43,$3.34,1.03
2019-12-31,10.42,$3.67,2.84
2019-09-30,10.01,$2.53,3.96
2019-06-30,9.38,$1.93,4.86
2019-03-31,8.52,$0.60,14.26
2018-12-31,5.35,$-0.71,0.0
2018-09-30,7.46,$0.06,131.57
2018-06-30,5.08,$-0.42,0.0
2018-03-31,8.15,$-0.33,0.0
2017-12-31,8.02,$-0.68,0.0
2017-09-30,11.87,$-2.34,0.0
2017-06-30,14.55,$-1.93,0.0
2017-03-31,13.94,$-1.29,0.0
2016-12-31,15.04,$-0.38,0.0
2016-09-30,17.39,$2.21,7.86
2016-06-30,18.69,$1.31,14.32
2016-03-31,21.07,$1.44,14.64
2015-12-31,17.16,$1.06,16.14
2015-09-30,14.92,$-0.72,0.0
2015-06-30,11.94,$0.60,19.75
2015-03-31,11.14,$-0.20,0.0
2014-12-31,9.02,$-0.82,0.0
2014-09-30,8.68,$-0.68,0.0
2014-06-30,9.0,$-0.59,0.0
