HCI Price to Free Cash Flow Ratio Historical Data,HCI Price to Free Cash Flow Ratio Historical Data,HCI Price to Free Cash Flow Ratio Historical Data,HCI Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,137.07,,5.31
2024-12-31,116.53,$25.84,4.51
2024-09-30,106.68,$37.90,2.81
2024-06-30,91.46,$31.89,2.87
2024-03-31,114.73,$25.65,4.47
2023-12-31,86.03,$20.30,4.24
2023-09-30,53.18,$8.66,6.14
2023-06-30,60.09,$-2.36,0.0
2023-03-31,51.76,$2.59,19.99
2022-12-31,37.93,$-0.72,0.0
2022-09-30,37.17,$2.30,16.13
2022-06-30,63.8,$0.92,69.68
2022-03-31,63.8,$12.97,4.92
2021-12-31,77.68,$10.86,7.15
2021-09-30,102.68,$5.66,18.15
2021-06-30,91.82,$8.38,10.96
2021-03-31,70.57,$3.42,20.64
2020-12-31,47.72,$7.31,6.53
2020-09-30,44.63,$7.63,5.85
2020-06-30,41.51,$13.06,3.18
2020-03-31,35.82,$11.17,3.21
2019-12-31,40.28,$5.00,8.06
2019-09-30,36.76,$5.72,6.43
2019-06-30,35.39,$3.83,9.24
2019-03-31,37.01,$5.90,6.28
2018-12-31,43.64,$3.34,13.05
2018-09-30,37.32,$-1.76,0.0
2018-06-30,35.14,$1.48,23.67
2018-03-31,31.97,$-1.73,0.0
2017-12-31,24.81,$1.67,14.85
2017-09-30,31.37,$5.34,5.87
2017-06-30,38.19,$4.07,9.38
2017-03-31,36.76,$7.37,4.99
2016-12-31,31.6,$8.04,3.93
2016-09-30,24.07,$3.14,7.68
2016-06-30,21.42,$3.50,6.11
2016-03-31,25.9,$1.53,16.98
2015-12-31,26.87,$3.91,6.87
2015-09-30,29.67,$11.33,2.62
2015-06-30,33.59,$9.27,3.62
2015-03-31,34.63,$9.86,3.51
2014-12-31,32.43,$7.55,4.3
2014-09-30,26.81,$6.27,4.28
2014-06-30,30.04,$6.18,4.86
2014-03-31,26.75,$6.39,4.19
2013-12-31,39.05,$4.68,8.35
2013-09-30,29.63,$11.17,2.65
2013-06-30,22.14,$11.88,1.86
2013-03-31,19.5,$9.70,2.01
2012-12-31,14.73,$10.71,1.38
2012-09-30,16.37,$8.55,1.91
2012-06-30,12.14,$6.82,1.78
2012-03-31,8.65,$9.81,0.88
2011-12-31,5.38,$7.10,0.76
2011-09-30,4.21,$0.44,9.61
2011-06-30,4.28,$0.94,4.55
2011-03-31,5.19,$-1.03,0.0
2010-12-31,5.07,$1.29,3.93
2010-09-30,3.94,$0.31,12.51
2010-06-30,3.54,$-0.20,0.0
2010-03-31,3.94,$-0.26,0.0
2009-12-31,4.73,$-2.05,0.0
