Future FinTech Group Price to Free Cash Flow Ratio Historical Data,Future FinTech Group Price to Free Cash Flow Ratio Historical Data,Future FinTech Group Price to Free Cash Flow Ratio Historical Data,Future FinTech Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.19,,0.0
2024-09-30,0.38,$-1.38,0.0
2024-06-30,0.48,$-1.35,0.0
2024-03-31,1.0,$-0.87,0.0
2023-12-31,1.83,$-1.18,0.0
2023-09-30,1.11,$-0.56,0.0
2023-06-30,1.3,$-0.25,0.0
2023-03-31,1.06,$-0.87,0.0
2022-12-31,1.86,$-0.22,0.0
2022-09-30,2.3,$-0.11,0.0
2022-06-30,2.12,$-1.49,0.0
2022-03-31,3.79,$-1.53,0.0
2021-12-31,6.65,$-1.51,0.0
2021-09-30,10.45,$-2.44,0.0
2021-06-30,15.75,$-0.96,0.0
2021-03-31,31.0,$-0.53,0.0
2020-12-31,9.4,$-0.84,0.0
2020-09-30,10.95,$-0.36,0.0
2020-06-30,5.8,$-1.90,0.0
2020-03-31,5.25,$-1.97,0.0
2019-12-31,2.25,$-1.59,0.0
2019-09-30,4.05,$-1.80,0.0
2019-06-30,6.24,$0.63,9.91
2019-03-31,3.6,$-0.70,0.0
2018-12-31,3.03,$-1.11,0.0
2018-09-30,6.3,$20.26,0.31
2018-06-30,8.35,$20.43,0.41
2018-03-31,10.25,$21.55,0.48
2017-12-31,20.85,$21.15,0.99
2017-09-30,9.35,$-98.69,0.0
2017-06-30,12.05,$-64.69,0.0
2017-03-31,29.75,$-52.62,0.0
2016-12-31,33.0,$-54.86,0.0
2016-09-30,46.05,$57.35,0.8
2016-06-30,10.95,$21.73,0.5
2016-03-31,14.2,$15.22,0.93
2015-12-31,27.2,$19.38,1.4
2015-09-30,33.2,$9.45,3.51
2015-06-30,54.4,$-14.19,0.0
2015-03-31,45.6,$-17.47,0.0
2014-12-31,39.02,$-2.10,0.0
2014-09-30,42.4,$-32.90,0.0
2014-06-30,55.2,$-6.98,0.0
2014-03-31,74.0,$15.82,4.68
2013-12-31,70.0,$18.44,3.8
2013-09-30,79.6,$40.44,1.97
2013-06-30,80.8,$27.30,2.96
2013-03-31,92.0,$17.99,5.11
2012-12-31,80.8,$19.01,4.25
2012-09-30,64.0,$8.99,7.12
2012-06-30,64.0,$21.88,2.92
2012-03-31,60.8,$27.13,2.24
2011-12-31,74.4,$27.28,2.73
2011-09-30,73.2,$35.89,2.04
2011-06-30,107.2,$29.07,3.69
2011-03-31,176.4,$14.01,12.59
2010-12-31,186.0,$5.18,35.91
2010-09-30,187.2,$16.98,11.03
2010-06-30,202.0,$9.07,22.27
2010-03-31,239.6,$-6.93,0.0
2009-12-31,164.8,$-0.94,0.0
