Anywhere Real Estate Price to Free Cash Flow Ratio Historical Data,Anywhere Real Estate Price to Free Cash Flow Ratio Historical Data,Anywhere Real Estate Price to Free Cash Flow Ratio Historical Data,Anywhere Real Estate Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.89,,16.62
2024-12-31,3.3,$0.23,14.1
2024-09-30,5.08,$0.24,21.18
2024-06-30,3.31,$0.46,7.13
2024-03-31,6.18,$0.97,6.36
2023-12-31,8.11,$1.04,7.78
2023-09-30,6.43,$0.24,26.6
2023-06-30,6.68,$-0.04,0.0
2023-03-31,5.28,$-0.78,0.0
2022-12-31,6.39,$-1.77,0.0
2022-09-30,8.11,$-0.32,0.0
2022-06-30,9.83,$1.15,8.52
2022-03-31,15.68,$2.84,5.52
2021-12-31,16.81,$4.51,3.73
2021-09-30,17.54,$6.15,2.85
2021-06-30,18.22,$6.95,2.62
2021-03-31,15.13,$6.13,2.47
2020-12-31,13.12,$5.67,2.31
2020-09-30,9.44,$3.81,2.48
2020-06-30,7.41,$2.02,3.68
2020-03-31,3.01,$2.34,1.29
2019-12-31,9.68,$2.21,4.39
2019-09-30,6.68,$2.48,2.7
2019-06-30,7.13,$2.67,2.67
2019-03-31,11.11,$2.40,4.63
2018-12-31,14.21,$2.31,6.16
2018-09-30,19.87,$2.67,7.45
2018-06-30,21.86,$2.86,7.64
2018-03-31,26.05,$3.27,7.98
2017-12-31,25.22,$4.17,6.05
2017-09-30,31.25,$3.73,8.37
2017-06-30,30.7,$3.99,7.7
2017-03-31,28.1,$3.72,7.55
2016-12-31,24.19,$3.42,7.07
2016-09-30,24.22,$3.52,6.88
2016-06-30,27.09,$3.62,7.49
2016-03-31,33.71,$3.52,9.58
2015-12-31,34.24,$3.40,10.06
2015-09-30,35.13,$3.22,10.92
2015-06-30,43.62,$2.53,17.22
2015-03-31,42.46,$2.57,16.51
2014-12-31,41.54,$2.43,17.08
2014-09-30,34.73,$2.47,14.07
2014-06-30,35.21,$2.53,13.94
2014-03-31,40.57,$2.47,16.43
2013-12-31,46.19,$2.93,15.75
2013-09-30,40.17,$-2.19,0.0
