Alpha Pro Tech Price to Free Cash Flow Ratio Historical Data,Alpha Pro Tech Price to Free Cash Flow Ratio Historical Data,Alpha Pro Tech Price to Free Cash Flow Ratio Historical Data,Alpha Pro Tech Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.08,,29.69
2024-12-31,5.29,$0.17,30.92
2024-09-30,5.7,$0.35,16.07
2024-06-30,5.5,$0.40,13.9
2024-03-31,6.24,$0.70,8.92
2023-12-31,5.29,$0.65,8.18
2023-09-30,4.34,$0.52,8.4
2023-06-30,3.98,$0.29,13.73
2023-03-31,4.16,$0.23,17.86
2022-12-31,4.02,$0.30,13.58
2022-09-30,4.05,$0.08,50.31
2022-06-30,4.46,$0.16,27.56
2022-03-31,4.2,$-0.08,0.0
2021-12-31,5.97,$-0.22,0.0
2021-09-30,6.73,$-0.09,0.0
2021-06-30,8.57,$-0.30,0.0
2021-03-31,9.76,$0.32,30.51
2020-12-31,11.15,$1.23,9.09
2020-09-30,14.78,$1.31,11.31
2020-06-30,17.7,$1.34,13.23
2020-03-31,12.08,$0.92,13.17
2019-12-31,3.43,$0.14,25.02
2019-09-30,3.61,$0.05,75.21
2019-06-30,3.41,$0.10,33.17
2019-03-31,3.6,$0.17,21.8
2018-12-31,3.71,$0.10,37.17
2018-09-30,3.55,$0.12,30.82
2018-06-30,3.35,$0.15,22.16
2018-03-31,3.35,$0.07,50.38
2017-12-31,4.0,$0.22,18.05
2017-09-30,3.85,$0.20,19.66
2017-06-30,2.95,$0.30,9.97
2017-03-31,2.75,$0.40,6.83
2016-12-31,3.5,$0.39,8.97
2016-09-30,3.6,$0.56,6.46
2016-06-30,2.27,$0.54,4.2
2016-03-31,1.82,$0.49,3.7
2015-12-31,1.75,$0.31,5.6
2015-09-30,1.99,$0.00,0.0
2015-06-30,2.24,$-0.08,0.0
2015-03-31,2.27,$-0.18,0.0
2014-12-31,2.57,$-0.10,0.0
2014-09-30,3.25,$0.04,88.56
2014-06-30,2.13,$0.05,41.76
2014-03-31,2.24,$0.18,12.56
2013-12-31,2.15,$0.30,7.2
2013-09-30,1.51,$0.25,5.97
2013-06-30,1.6,$0.07,22.07
2013-03-31,1.51,$-0.01,0.0
2012-12-31,1.43,$-0.07,0.0
2012-09-30,1.45,$-0.01,0.0
2012-06-30,1.34,$0.13,10.2
2012-03-31,1.53,$0.20,7.69
2011-12-31,1.2,$0.17,6.89
2011-09-30,1.15,$0.14,7.97
2011-06-30,1.17,$0.15,7.74
2011-03-31,1.38,$-0.13,0.0
2010-12-31,1.78,$-0.20,0.0
2010-09-30,1.6,$-0.20,0.0
2010-06-30,1.85,$-0.16,0.0
2010-03-31,2.35,$0.10,24.2
2009-12-31,4.52,$0.30,15.0
