PACCAR Price to Free Cash Flow Ratio Historical Data,PACCAR Price to Free Cash Flow Ratio Historical Data,PACCAR Price to Free Cash Flow Ratio Historical Data,PACCAR Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,98.32,,16.81
2024-12-31,104.02,$5.85,17.79
2024-09-30,98.43,$6.53,15.08
2024-06-30,102.35,$6.56,15.6
2024-03-31,122.84,$7.95,15.46
2023-12-31,96.58,$6.69,14.43
2023-09-30,81.13,$6.96,11.65
2023-06-30,79.57,$5.76,13.82
2023-03-31,69.38,$5.23,13.27
2022-12-31,62.33,$4.41,14.13
2022-09-30,51.05,$3.77,13.53
2022-06-30,50.05,$3.06,16.38
2022-03-31,53.32,$2.52,21.2
2021-12-31,53.24,$2.79,19.09
2021-09-30,46.61,$2.16,21.59
2021-06-30,52.49,$3.17,16.56
2021-03-31,54.45,$4.39,12.41
2020-12-31,50.39,$3.74,13.46
2020-09-30,49.23,$3.92,12.57
2020-06-30,43.06,$3.38,12.74
2020-03-31,35.0,$2.18,16.09
2019-12-31,45.1,$2.84,15.89
2019-09-30,38.64,$3.12,12.4
2019-06-30,39.37,$3.15,12.5
2019-03-31,37.26,$3.46,10.76
2018-12-31,31.09,$3.21,9.69
2018-09-30,35.68,$2.82,12.66
2018-06-30,32.28,$2.70,11.96
2018-03-31,34.32,$2.53,13.58
2017-12-31,36.73,$2.53,14.51
2017-09-30,36.62,$2.38,15.38
2017-06-30,33.3,$0.62,53.35
2017-03-31,33.76,$1.10,30.72
2016-12-31,31.99,$1.48,21.66
2016-09-30,29.04,$1.39,20.91
2016-06-30,25.52,$3.09,8.27
2016-03-31,26.79,$2.93,9.16
2015-12-31,23.11,$2.35,9.82
2015-09-30,24.57,$4.35,5.65
2015-06-30,29.95,$4.61,6.49
2015-03-31,29.54,$4.35,6.79
2014-12-31,31.7,$4.16,7.62
2014-09-30,26.04,$2.02,12.92
2014-06-30,28.67,$1.39,20.64
2014-03-31,30.66,$1.62,18.97
2013-12-31,26.81,$1.59,16.82
2013-09-30,24.75,$-0.44,0.0
2013-06-30,23.77,$0.15,156.6
2013-03-31,22.32,$-0.02,0.0
2012-12-31,19.87,$0.08,264.59
2012-09-30,17.2,$-0.08,0.0
2012-06-30,16.76,$-0.25,0.0
2012-03-31,19.92,$-0.09,0.0
2011-12-31,15.88,$0.52,30.53
2011-09-30,14.0,$3.01,4.66
2011-06-30,21.04,$3.65,5.77
2011-03-31,21.52,$3.51,6.14
2010-12-31,23.51,$3.25,7.24
2010-09-30,19.59,$3.78,5.19
2010-06-30,16.19,$3.29,4.92
2010-03-31,17.56,$3.55,4.95
2009-12-31,14.66,$3.23,4.54
