"INTERNATIONAL MONEY EXPRESS, INC Price to Free Cash Flow Ratio Historical Data","INTERNATIONAL MONEY EXPRESS, INC Price to Free Cash Flow Ratio Historical Data","INTERNATIONAL MONEY EXPRESS, INC Price to Free Cash Flow Ratio Historical Data","INTERNATIONAL MONEY EXPRESS, INC Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.58,,40.24
2024-12-31,20.83,$0.34,61.72
2024-09-30,18.49,$2.49,7.42
2024-06-30,20.84,$3.97,5.25
2024-03-31,22.83,$4.63,4.93
2023-12-31,22.09,$3.59,6.16
2023-09-30,16.93,$2.64,6.4
2023-06-30,24.53,$0.01,0.0
2023-03-31,25.78,$-0.69,0.0
2022-12-31,24.37,$0.08,313.64
2022-09-30,22.79,$-0.17,0.0
2022-06-30,20.47,$-0.05,0.0
2022-03-31,20.61,$3.35,6.15
2021-12-31,15.96,$1.73,9.24
2021-09-30,16.7,$0.53,31.62
2021-06-30,14.85,$1.07,13.9
2021-03-31,15.01,$-1.48,0.0
2020-12-31,15.52,$-0.13,0.0
2020-09-30,14.37,$0.58,24.84
2020-06-30,12.46,$0.96,13.0
2020-03-31,9.13,$0.92,9.91
2019-12-31,12.04,$1.23,9.83
2019-09-30,13.74,$1.09,12.58
2019-06-30,14.1,$1.09,12.98
2019-03-31,11.66,$0.38,30.39
2018-12-31,11.96,$0.57,21.01
2018-09-30,12.02,$1.86,6.47
2018-06-30,10.0,$0.96,10.47
2018-03-31,9.94,$1.67,5.96
2017-12-31,9.92,$0.67,14.9
