Cogent Communications Holdings Price to Free Cash Flow Ratio Historical Data,Cogent Communications Holdings Price to Free Cash Flow Ratio Historical Data,Cogent Communications Holdings Price to Free Cash Flow Ratio Historical Data,Cogent Communications Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,68.97,,0.0
2024-12-31,77.07,$-4.28,0.0
2024-09-30,75.02,$-5.55,0.0
2024-06-30,55.02,$-5.51,0.0
2024-03-31,62.65,$-3.07,0.0
2023-12-31,71.86,$-2.35,0.0
2023-09-30,57.65,$-0.09,0.0
2023-06-30,61.81,$2.19,28.17
2023-03-31,57.67,$1.61,35.9
2022-12-31,50.89,$2.01,25.36
2022-09-30,45.77,$2.11,21.73
2022-06-30,52.5,$1.99,26.33
2022-03-31,56.48,$2.12,26.61
2021-12-31,61.44,$2.14,28.76
2021-09-30,58.86,$2.14,27.51
2021-06-30,63.17,$2.06,30.67
2021-03-31,55.92,$2.15,25.98
2020-12-31,48.11,$1.81,26.61
2020-09-30,47.66,$2.15,22.15
2020-06-30,60.75,$2.17,28.04
2020-03-31,63.8,$2.21,28.87
2019-12-31,50.79,$2.21,22.98
2019-09-30,42.09,$2.08,20.28
2019-06-30,44.88,$2.04,22.01
2019-03-31,40.6,$1.83,22.14
2018-12-31,33.44,$1.83,18.23
2018-09-30,40.8,$1.64,24.82
2018-06-30,38.65,$1.61,24.0
2018-03-31,31.09,$1.54,20.13
2017-12-31,32.09,$1.46,22.0
2017-09-30,34.28,$1.59,21.5
2017-06-30,27.82,$1.51,18.37
2017-03-31,29.54,$1.37,21.59
2016-12-31,28.07,$1.40,20.08
2016-09-30,24.73,$1.17,21.06
2016-06-30,26.64,$1.23,21.59
2016-03-31,25.7,$1.23,20.93
2015-12-31,22.62,$1.07,21.18
2015-09-30,17.52,$0.80,21.88
2015-06-30,21.58,$0.45,48.49
2015-03-31,22.3,$0.51,43.91
2014-12-31,22.14,$0.28,78.85
2014-09-30,20.84,$0.58,35.65
2014-06-30,21.24,$0.67,31.78
2014-03-31,21.85,$0.62,35.17
2013-12-31,24.85,$0.70,35.58
2013-09-30,19.63,$0.77,25.38
2013-06-30,17.06,$0.77,22.23
2013-03-31,15.92,$0.74,21.4
2012-12-31,13.59,$0.78,17.37
2012-09-30,13.73,$0.67,20.56
2012-06-30,11.43,$0.72,15.99
2012-03-31,11.34,$0.65,17.43
2011-12-31,10.04,$0.66,15.31
2011-09-30,7.99,$0.52,15.51
2011-06-30,10.11,$0.43,23.57
2011-03-31,8.47,$0.34,24.72
2010-12-31,8.4,$0.42,20.11
2010-09-30,5.63,$0.39,14.57
2010-06-30,4.5,$0.29,15.7
2010-03-31,6.19,$0.23,26.51
2009-12-31,5.86,$0.17,34.69
