Nauticus Robotics Price to Free Cash Flow Ratio Historical Data,Nauticus Robotics Price to Free Cash Flow Ratio Historical Data,Nauticus Robotics Price to Free Cash Flow Ratio Historical Data,Nauticus Robotics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.14,,0.0
2024-09-30,1.41,$-12.83,0.0
2024-06-30,0.14,$-21.40,0.0
2024-03-31,0.32,$-23.41,0.0
2023-12-31,0.68,$-29.24,0.0
2023-09-30,1.77,$-38.17,0.0
2023-06-30,2.07,$-64.82,0.0
2023-03-31,2.98,$-85.15,0.0
2022-12-31,3.74,$-97.63,0.0
2022-09-30,3.61,$-96.51,0.0
2022-06-30,10.07,$-79.77,0.0
