Hercules Capital Price to Free Cash Flow Ratio Historical Data,Hercules Capital Price to Free Cash Flow Ratio Historical Data,Hercules Capital Price to Free Cash Flow Ratio Historical Data,Hercules Capital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,19.13,,0.0
2024-12-31,20.09,$-0.74,0.0
2024-09-30,19.16,$0.34,56.51
2024-06-30,19.43,$-1.03,0.0
2024-03-31,17.1,$-0.47,0.0
2023-12-31,15.05,$0.47,32.35
2023-09-30,14.39,$-1.00,0.0
2023-06-30,12.6,$-0.52,0.0
2023-03-31,10.6,$-2.35,0.0
2022-12-31,10.55,$-3.35,0.0
2022-09-30,8.91,$-1.92,0.0
2022-06-30,10.05,$-1.27,0.0
2022-03-31,13.05,$-0.05,0.0
2021-12-31,11.65,$1.11,10.51
2021-09-30,11.4,$2.31,4.94
2021-06-30,11.45,$1.87,6.12
2021-03-31,10.52,$1.64,6.42
2020-12-31,9.24,$1.85,4.99
2020-09-30,7.2,$-0.42,0.0
2020-06-30,6.34,$0.06,106.18
2020-03-31,4.48,$-1.13,0.0
2019-12-31,7.98,$-2.38,0.0
2019-09-30,7.42,$-3.70,0.0
2019-06-30,6.94,$-4.21,0.0
2019-03-31,6.68,$-4.95,0.0
2018-12-31,5.7,$-2.74,0.0
2018-09-30,6.61,$-2.36,0.0
2018-06-30,6.21,$-2.12,0.0
2018-03-31,5.8,$0.37,15.5
2017-12-31,6.13,$-0.23,0.0
2017-09-30,5.89,$-0.16,0.0
2017-06-30,5.9,$0.07,86.94
2017-03-31,6.59,$-0.58,0.0
2016-12-31,6.02,$-1.88,0.0
2016-09-30,5.65,$-1.34,0.0
2016-06-30,5.06,$-0.25,0.0
2016-03-31,4.77,$-1.02,0.0
2015-12-31,4.71,$-1.64,0.0
2015-09-30,3.8,$-0.99,0.0
2015-06-30,4.23,$-2.19,0.0
2015-03-31,4.82,$-2.77,0.0
2014-12-31,5.2,$-0.42,0.0
2014-09-30,4.96,$1.10,4.49
2014-06-30,5.43,$2.49,2.18
2014-03-31,4.63,$3.17,1.46
2013-12-31,5.29,$1.71,3.09
2013-09-30,4.83,$-2.06,0.0
2013-06-30,4.33,$-4.60,0.0
2013-03-31,3.73,$-4.46,0.0
2012-12-31,3.32,$-3.95,0.0
2012-09-30,3.21,$-3.37,0.0
2012-06-30,3.23,$-4.57,0.0
2012-03-31,3.09,$-4.18,0.0
2011-12-31,2.58,$-3.23,0.0
2011-09-30,2.27,$-2.91,0.0
2011-06-30,2.74,$-0.34,0.0
2011-03-31,2.8,$-1.62,0.0
2010-12-31,2.59,$-2.54,0.0
2010-09-30,2.48,$0.48,5.15
2010-06-30,2.22,$1.38,1.6
2010-03-31,2.5,$4.65,0.54
2009-12-31,2.4,$6.47,0.37
