Artivion Price to Free Cash Flow Ratio Historical Data,Artivion Price to Free Cash Flow Ratio Historical Data,Artivion Price to Free Cash Flow Ratio Historical Data,Artivion Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,24.2,,91.29
2024-12-31,28.59,$0.27,107.85
2024-09-30,26.62,$0.26,103.82
2024-06-30,25.65,$0.20,131.07
2024-03-31,21.16,$0.26,82.95
2023-12-31,17.88,$0.22,80.29
2023-09-30,15.16,$-0.08,0.0
2023-06-30,17.19,$-0.18,0.0
2023-03-31,13.1,$-0.55,0.0
2022-12-31,12.12,$-0.40,0.0
2022-09-30,13.84,$-0.39,0.0
2022-06-30,18.88,$-0.53,0.0
2022-03-31,21.38,$-0.36,0.0
2021-12-31,20.35,$-0.40,0.0
2021-09-30,22.29,$-0.22,0.0
2021-06-30,28.4,$0.06,491.35
2021-03-31,22.58,$0.01,1697.74
2020-12-31,23.61,$0.13,177.39
2020-09-30,18.47,$-0.01,0.0
2020-06-30,19.17,$0.12,157.26
2020-03-31,16.92,$0.21,81.23
2019-12-31,27.09,$0.20,132.28
2019-09-30,27.15,$0.70,38.82
2019-06-30,29.93,$0.41,73.88
2019-03-31,29.17,$0.44,66.42
2018-12-31,28.38,$0.11,252.27
2018-09-30,35.2,$-0.19,0.0
2018-06-30,27.85,$-0.14,0.0
2018-03-31,20.05,$-0.26,0.0
2017-12-31,19.15,$0.12,156.84
2017-09-30,22.7,$0.06,385.4
2017-06-30,19.95,$0.21,93.05
2017-03-31,16.65,$0.45,37.17
2016-12-31,19.15,$0.41,46.49
2016-09-30,17.57,$0.38,46.73
2016-06-30,11.81,$0.30,39.45
2016-03-31,10.75,$0.29,37.27
2015-12-31,10.78,$0.28,38.69
2015-09-30,9.7,$0.37,26.23
2015-06-30,11.21,$0.29,38.16
2015-03-31,10.28,$0.25,40.91
2014-12-31,11.2,$0.13,83.27
2014-09-30,9.73,$0.16,60.24
2014-06-30,8.8,$0.33,26.42
2014-03-31,9.76,$0.42,23.26
2013-12-31,10.83,$0.45,24.13
2013-09-30,6.82,$0.55,12.42
2013-06-30,6.07,$0.52,11.64
2013-03-31,5.8,$0.46,12.54
2012-12-31,5.98,$0.58,10.3
2012-09-30,6.42,$0.41,15.48
2012-06-30,4.97,$0.39,12.59
2012-03-31,5.01,$0.42,11.85
2011-12-31,4.56,$0.51,8.91
2011-09-30,4.27,$0.64,6.68
2011-06-30,5.32,$0.58,9.17
2011-03-31,5.79,$0.67,8.64
2010-12-31,5.15,$0.66,7.78
2010-09-30,5.77,$0.66,8.74
2010-06-30,5.12,$0.74,6.9
2010-03-31,6.15,$0.61,10.0
2009-12-31,6.1,$0.53,11.6
