Sixth Street Specialty Lending Price to Free Cash Flow Ratio Historical Data,Sixth Street Specialty Lending Price to Free Cash Flow Ratio Historical Data,Sixth Street Specialty Lending Price to Free Cash Flow Ratio Historical Data,Sixth Street Specialty Lending Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,22.36,,0.0
2024-12-31,21.3,$-0.49,0.0
2024-09-30,20.04,$-1.22,0.0
2024-06-30,20.33,$0.08,260.97
2024-03-31,19.97,$-2.61,0.0
2023-12-31,19.61,$-2.78,0.0
2023-09-30,18.11,$-1.08,0.0
2023-06-30,16.14,$-4.66,0.0
2023-03-31,15.39,$-4.77,0.0
2022-12-31,14.51,$-2.87,0.0
2022-09-30,12.99,$-4.42,0.0
2022-06-30,14.38,$1.46,9.86
2022-03-31,17.68,$1.36,12.99
2021-12-31,17.36,$0.03,549.32
2021-09-30,15.8,$-1.18,0.0
2021-06-30,15.49,$-4.47,0.0
2021-03-31,14.37,$-0.49,0.0
2020-12-31,13.11,$2.16,6.08
2020-09-30,10.61,$1.91,5.57
2020-06-30,9.93,$3.14,3.16
2020-03-31,7.95,$-2.08,0.0
2019-12-31,11.94,$-5.72,0.0
2019-09-30,11.42,$1.13,10.07
2019-06-30,10.45,$0.55,19.09
2019-03-31,10.45,$3.32,3.15
2018-12-31,9.22,$1.86,4.95
2018-09-30,10.18,$-4.52,0.0
2018-06-30,8.75,$-4.16,0.0
2018-03-31,8.5,$-3.08,0.0
2017-12-31,9.21,$1.37,6.71
2017-09-30,9.54,$3.47,2.75
2017-06-30,9.09,$3.04,2.99
2017-03-31,8.71,$1.62,5.36
2016-12-31,7.98,$-0.71,0.0
2016-09-30,7.58,$-2.84,0.0
2016-06-30,6.8,$-2.20,0.0
2016-03-31,6.45,$-2.77,0.0
2015-12-31,6.34,$-3.54,0.0
2015-09-30,6.27,$-2.00,0.0
2015-06-30,6.34,$-3.90,0.0
2015-03-31,6.28,$-0.73,0.0
2014-12-31,6.0,$-2.95,0.0
