GoHealth Price to Free Cash Flow Ratio Historical Data,GoHealth Price to Free Cash Flow Ratio Historical Data,GoHealth Price to Free Cash Flow Ratio Historical Data,GoHealth Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.74,,0.0
2024-12-31,13.39,$-3.54,0.0
2024-09-30,9.38,$3.86,2.43
2024-06-30,9.72,$4.21,2.31
2024-03-31,10.51,$9.05,1.16
2023-12-31,13.34,$10.27,1.3
2023-09-30,14.49,$-1.43,0.0
2023-06-30,19.71,$8.93,2.21
2023-03-31,16.28,$1.39,11.72
2022-12-31,10.45,$5.61,1.86
2022-09-30,5.33,$-22.88,0.0
2022-06-30,8.97,$-39.63,0.0
2022-03-31,17.7,$-43.32,0.0
2021-12-31,56.85,$-45.12,0.0
2021-09-30,75.45,$-21.07,0.0
2021-06-30,168.15,$-11.89,0.0
