GT Biopharma Price to Free Cash Flow Ratio Historical Data,GT Biopharma Price to Free Cash Flow Ratio Historical Data,GT Biopharma Price to Free Cash Flow Ratio Historical Data,GT Biopharma Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.26,,0.0
2024-12-31,3.05,$-6.80,0.0
2024-09-30,2.31,$-6.26,0.0
2024-06-30,2.83,$-7.45,0.0
2024-03-31,4.43,$-6.90,0.0
2023-12-31,0.26,$-6.57,0.0
2023-09-30,0.24,$-8.86,0.0
2023-06-30,0.31,$-10.25,0.0
2023-03-31,0.55,$-12.19,0.0
2022-12-31,0.89,$-14.33,0.0
2022-09-30,1.76,$-15.71,0.0
2022-06-30,2.99,$-17.19,0.0
2022-03-31,2.88,$-14.65,0.0
2021-12-31,3.05,$-16.65,0.0
