Yunji Price to Free Cash Flow Ratio Historical Data,Yunji Price to Free Cash Flow Ratio Historical Data,Yunji Price to Free Cash Flow Ratio Historical Data,Yunji Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.87,,0.0
2024-09-30,2.32,$-5.72,0.0
2024-06-30,2.77,$-5.72,0.0
2024-03-31,3.32,$-5.72,0.0
2023-12-31,2.84,$-5.72,0.0
2023-09-30,2.76,$-8.56,0.0
2023-06-30,6.32,$-8.56,0.0
2023-03-31,15.6,$-8.56,0.0
2022-12-31,32.66,$-8.56,0.0
2022-09-30,32.64,$-3.24,0.0
2022-06-30,41.6,$-3.24,0.0
2022-03-31,40.8,$-3.24,0.0
2021-12-31,25.0,$-3.24,0.0
2021-09-30,28.6,$-9.92,0.0
2021-06-30,69.2,$-9.92,0.0
2021-03-31,86.0,$-9.92,0.0
2020-12-31,74.0,$-9.92,0.0
2020-09-30,73.6,$-36.08,0.0
2020-06-30,107.6,$-36.08,0.0
2020-03-31,146.4,$-36.08,0.0
