Radiant Logistics Price to Free Cash Flow Ratio Historical Data,Radiant Logistics Price to Free Cash Flow Ratio Historical Data,Radiant Logistics Price to Free Cash Flow Ratio Historical Data,Radiant Logistics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.28,,21.95
2024-12-31,6.7,$0.29,23.42
2024-09-30,6.43,$0.03,186.38
2024-06-30,5.69,$0.18,31.2
2024-03-31,5.42,$0.53,10.29
2023-12-31,6.64,$0.69,9.67
2023-09-30,5.65,$1.42,3.97
2023-06-30,6.72,$1.83,3.68
2023-03-31,6.56,$2.09,3.13
2022-12-31,5.09,$2.11,2.42
2022-09-30,5.69,$1.20,4.76
2022-06-30,7.42,$0.35,21.39
2022-03-31,6.37,$-0.11,0.0
2021-12-31,7.29,$-0.36,0.0
2021-09-30,6.39,$-0.50,0.0
2021-06-30,6.93,$0.06,117.26
2021-03-31,6.95,$0.51,13.52
2020-12-31,5.8,$0.36,16.11
2020-09-30,5.14,$0.74,6.94
2020-06-30,3.93,$0.49,8.07
2020-03-31,3.87,$-0.02,0.0
2019-12-31,5.57,$0.45,12.32
2019-09-30,5.17,$0.54,9.65
2019-06-30,6.14,$0.66,9.26
2019-03-31,6.3,$0.57,11.0
2018-12-31,4.25,$0.33,12.76
2018-09-30,5.91,$0.13,45.29
2018-06-30,3.91,$-0.02,0.0
2018-03-31,3.87,$-0.06,0.0
2017-12-31,4.6,$-0.08,0.0
2017-09-30,5.31,$0.10,55.89
2017-06-30,5.38,$0.20,26.59
2017-03-31,5.0,$0.28,17.84
2016-12-31,3.9,$0.32,12.19
2016-09-30,2.84,$0.36,7.85
2016-06-30,3.0,$0.38,7.84
2016-03-31,3.57,$0.17,20.64
2015-12-31,3.43,$0.15,23.24
2015-09-30,4.46,$-0.01,0.0
2015-06-30,7.31,$-0.05,0.0
2015-03-31,5.18,$0.07,69.44
2014-12-31,4.23,$0.02,227.42
2014-09-30,3.68,$0.18,20.47
2014-06-30,3.09,$0.19,16.37
2014-03-31,3.09,$0.21,14.38
2013-12-31,2.68,$0.24,11.39
2013-09-30,2.28,$0.13,18.18
2013-06-30,1.95,$0.07,26.42
2013-03-31,2.1,$0.11,19.39
2012-12-31,1.42,$0.01,100.0
2012-09-30,1.68,$0.08,22.37
2012-06-30,1.75,$0.08,21.47
2012-03-31,2.2,$0.04,49.66
2011-12-31,2.4,$0.18,13.04
2011-09-30,2.28,$0.06,38.45
2011-06-30,2.4,$0.08,30.11
2011-03-31,2.05,$0.15,13.9
2010-12-31,1.1,$0.14,7.87
2010-09-30,0.39,$0.10,3.94
2010-06-30,0.27,$0.07,3.92
2010-03-31,0.23,$0.06,3.57
2009-12-31,0.25,$0.08,2.95
