"Banco Latinoamericano De Comercio Exterior, S.A Price to Free Cash Flow Ratio Historical Data","Banco Latinoamericano De Comercio Exterior, S.A Price to Free Cash Flow Ratio Historical Data","Banco Latinoamericano De Comercio Exterior, S.A Price to Free Cash Flow Ratio Historical Data","Banco Latinoamericano De Comercio Exterior, S.A Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,38.01,,3.69
2024-09-30,32.02,$10.30,3.11
2024-06-30,28.72,$19.80,1.45
2024-03-31,28.2,$19.64,1.44
2023-12-31,23.13,$29.09,0.79
2023-09-30,19.59,$34.26,0.57
2023-06-30,20.16,$31.12,0.65
2023-03-31,15.66,$6.28,2.49
2022-12-31,14.4,$-21.25,0.0
2022-09-30,11.43,$-45.42,0.0
2022-06-30,11.42,$-45.92,0.0
2022-03-31,13.18,$-33.14,0.0
2021-12-31,13.82,$-22.48,0.0
2021-09-30,14.39,$-7.44,0.0
2021-06-30,12.43,$-3.51,0.0
2021-03-31,12.04,$27.15,0.44
2020-12-31,12.4,$31.43,0.39
2020-09-30,9.34,$29.19,0.32
2020-06-30,8.66,$22.86,0.38
2020-03-31,7.58,$-3.39,0.0
2019-12-31,15.4,$-2.36,0.0
2019-09-30,14.11,$7.95,1.78
2019-06-30,14.47,$1.91,7.57
2019-03-31,13.6,$-7.34,0.0
2018-12-31,11.58,$-4.41,0.0
2018-09-30,13.69,$-13.08,0.0
2018-06-30,15.86,$-6.71,0.0
2018-03-31,18.1,$6.20,2.92
2017-12-31,16.87,$18.15,0.93
2017-09-30,18.21,$25.53,0.71
2017-06-30,16.69,$30.36,0.55
2017-03-31,16.68,$27.54,0.61
2016-12-31,17.46,$21.05,0.83
2016-09-30,16.48,$14.23,1.16
2016-06-30,15.28,$12.36,1.24
2016-03-31,13.76,$15.20,0.9
2015-12-31,14.47,$10.71,1.35
2015-09-30,12.74,$5.36,2.37
2015-06-30,17.47,$6.59,2.65
2015-03-31,17.59,$-1.12,0.0
2014-12-31,16.14,$-6.86,0.0
2014-09-30,16.06,$3.89,4.13
2014-06-30,15.36,$3.17,4.85
2014-03-31,13.49,$2.60,5.19
2013-12-31,14.13,$1.40,10.07
2013-09-30,12.42,$1.38,9.01
2013-06-30,11.03,$1.13,9.75
2013-03-31,12.03,$1.78,6.77
2012-12-31,10.35,$2.49,4.16
2012-09-30,10.46,$3.28,3.19
2012-06-30,10.03,$4.16,2.41
2012-03-31,9.76,$4.61,2.12
2011-12-31,7.32,$4.76,1.54
2011-09-30,6.86,$5.19,1.32
2011-06-30,7.72,$3.95,1.95
2011-03-31,7.69,$2.35,3.28
2010-12-31,8.04,$1.83,4.39
2010-09-30,6.23,$0.41,15.23
2010-06-30,5.32,$0.41,13.01
2010-03-31,6.06,$0.41,14.81
2009-12-31,5.8,$0.41,14.19
