Ouster Price to Free Cash Flow Ratio Historical Data,Ouster Price to Free Cash Flow Ratio Historical Data,Ouster Price to Free Cash Flow Ratio Historical Data,Ouster Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.38,,0.0
2024-09-30,6.3,$-1.52,0.0
2024-06-30,9.83,$-2.14,0.0
2024-03-31,7.94,$-2.12,0.0
2023-12-31,7.67,$-3.79,0.0
2023-09-30,5.04,$-4.75,0.0
2023-06-30,4.94,$-5.58,0.0
2023-03-31,0.84,$-7.06,0.0
2022-12-31,0.86,$-6.51,0.0
2022-09-30,0.96,$-7.34,0.0
2022-06-30,1.62,$-6.99,0.0
2022-03-31,4.5,$-4.58,0.0
2021-12-31,5.2,$-5.63,0.0
2021-09-30,7.32,$-28.54,0.0
