Ohio Valley Banc Price to Free Cash Flow Ratio Historical Data,Ohio Valley Banc Price to Free Cash Flow Ratio Historical Data,Ohio Valley Banc Price to Free Cash Flow Ratio Historical Data,Ohio Valley Banc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,31.8,,12.88
2024-12-31,24.21,$2.47,9.81
2024-09-30,24.01,$3.30,7.28
2024-06-30,19.63,$3.28,5.99
2024-03-31,23.77,$3.08,7.71
2023-12-31,22.16,$3.83,5.79
2023-09-30,23.16,$3.69,6.28
2023-06-30,23.41,$3.56,6.57
2023-03-31,21.82,$3.32,6.57
2022-12-31,24.43,$3.02,8.08
2022-09-30,25.52,$2.88,8.85
2022-06-30,27.48,$2.67,10.31
2022-03-31,27.11,$3.02,8.99
2021-12-31,26.5,$2.63,10.07
2021-09-30,23.73,$2.62,9.05
2021-06-30,21.5,$2.22,9.67
2021-03-31,21.16,$2.14,9.9
2020-12-31,20.38,$2.01,10.16
2020-09-30,17.67,$-0.03,0.0
2020-06-30,19.09,$0.24,79.11
2020-03-31,25.15,$-0.02,0.0
2019-12-31,33.05,$0.02,1406.46
2019-09-30,30.26,$1.91,15.83
2019-06-30,31.81,$2.01,15.86
2019-03-31,29.65,$2.35,12.62
2018-12-31,28.86,$3.50,8.24
2018-09-30,29.71,$4.50,6.61
2018-06-30,42.34,$3.92,10.79
2018-03-31,33.63,$3.41,9.86
2017-12-31,32.3,$3.04,10.63
2017-09-30,28.93,$1.81,15.99
2017-06-30,28.49,$2.07,13.75
2017-03-31,22.32,$2.29,9.74
2016-12-31,21.18,$2.78,7.63
2016-09-30,17.13,$2.48,6.91
2016-06-30,16.71,$2.91,5.75
2016-03-31,16.47,$0.37,43.98
2015-12-31,18.42,$2.16,8.52
2015-09-30,18.04,$2.23,8.07
2015-06-30,16.68,$2.34,7.13
2015-03-31,16.4,$4.64,3.53
2014-12-31,17.73,$2.81,6.31
2014-09-30,16.53,$3.20,5.17
2014-06-30,16.28,$2.91,5.59
2014-03-31,15.47,$3.42,4.52
2013-12-31,15.32,$3.43,4.47
2013-09-30,13.9,$3.04,4.58
2013-06-30,15.29,$3.14,4.86
2013-03-31,12.9,$3.23,3.99
2012-12-31,12.63,$3.00,4.21
2012-09-30,12.19,$3.28,3.72
2012-06-30,12.52,$3.47,3.6
2012-03-31,11.23,$3.63,3.09
2011-12-31,11.73,$4.12,2.85
2011-09-30,10.68,$4.30,2.48
2011-06-30,10.81,$4.33,2.5
2011-03-31,12.94,$3.89,3.33
2010-12-31,11.88,$3.31,3.59
2010-09-30,11.63,$1.08,10.78
2010-06-30,9.77,$1.54,6.32
2010-03-31,12.64,$1.65,7.67
2009-12-31,12.79,$1.26,10.18
