Allakos Price to Free Cash Flow Ratio Historical Data,Allakos Price to Free Cash Flow Ratio Historical Data,Allakos Price to Free Cash Flow Ratio Historical Data,Allakos Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.25,,0.0
2024-12-31,1.21,$-1.06,0.0
2024-09-30,0.65,$-1.20,0.0
2024-06-30,1.0,$-1.18,0.0
2024-03-31,1.26,$-1.36,0.0
2023-12-31,2.73,$-1.35,0.0
2023-09-30,2.27,$-1.48,0.0
2023-06-30,4.36,$-1.41,0.0
2023-03-31,4.45,$-1.66,0.0
2022-12-31,8.42,$-4.54,0.0
2022-09-30,6.12,$-5.64,0.0
2022-06-30,3.13,$-6.41,0.0
2022-03-31,5.7,$-6.83,0.0
2021-12-31,9.79,$-4.48,0.0
2021-09-30,105.87,$-3.65,0.0
2021-06-30,85.37,$-3.34,0.0
2021-03-31,114.78,$-2.82,0.0
2020-12-31,140.0,$-2.31,0.0
2020-09-30,81.45,$-2.07,0.0
2020-06-30,71.86,$-1.65,0.0
2020-03-31,44.49,$-1.48,0.0
2019-12-31,95.36,$-1.41,0.0
2019-09-30,78.63,$-2.33,0.0
2019-06-30,43.33,$-2.95,0.0
