Blockchain Coinvestors Acquisition I Price to Free Cash Flow Ratio Historical Data,Blockchain Coinvestors Acquisition I Price to Free Cash Flow Ratio Historical Data,Blockchain Coinvestors Acquisition I Price to Free Cash Flow Ratio Historical Data,Blockchain Coinvestors Acquisition I Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-11-07,11.55,,0.0
2024-06-30,11.18,$-0.09,0.0
2024-03-31,11.1,$-0.24,0.0
2023-12-31,10.87,$-0.20,0.0
2023-09-30,10.8,$-0.14,0.0
2023-06-30,10.65,$-0.13,0.0
2023-03-31,10.27,$-0.05,0.0
2022-12-31,10.24,$-0.05,0.0
