Quest Diagnostics Price to Free Cash Flow Ratio Historical Data,Quest Diagnostics Price to Free Cash Flow Ratio Historical Data,Quest Diagnostics Price to Free Cash Flow Ratio Historical Data,Quest Diagnostics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,166.46,,20.69
2024-12-31,150.86,$8.04,18.75
2024-09-30,154.48,$9.08,17.0
2024-06-30,135.47,$7.79,17.39
2024-03-31,130.99,$8.38,15.62
2023-12-31,134.97,$7.65,17.65
2023-09-30,118.6,$5.17,22.93
2023-06-30,136.11,$7.58,17.94
2023-03-31,136.32,$7.40,18.43
2022-12-31,150.06,$11.14,13.48
2022-09-30,117.07,$11.90,9.84
2022-06-30,126.27,$12.50,10.1
2022-03-31,129.32,$12.97,9.97
2021-12-31,162.75,$14.30,11.38
2021-09-30,136.09,$14.80,9.2
2021-06-30,123.03,$16.50,7.46
2021-03-31,119.07,$15.23,7.82
2020-12-31,110.07,$11.67,9.43
2020-09-30,105.24,$10.15,10.37
2020-06-30,104.25,$6.00,17.38
2020-03-31,72.94,$5.74,12.71
2019-12-31,96.52,$6.20,15.57
2019-09-30,96.25,$5.90,16.3
2019-06-30,91.08,$6.76,13.48
2019-03-31,79.98,$6.78,11.79
2018-12-31,73.6,$5.88,12.52
2018-09-30,94.92,$6.56,14.46
2018-06-30,96.27,$6.39,15.07
2018-03-31,87.38,$6.27,13.94
2017-12-31,85.42,$6.59,12.96
2017-09-30,80.83,$6.44,12.55
2017-06-30,95.55,$6.00,15.94
2017-03-31,84.02,$6.15,13.66
2016-12-31,78.25,$5.80,13.5
2016-09-30,72.06,$5.45,13.22
2016-06-30,68.66,$4.87,14.11
2016-03-31,59.93,$4.61,12.99
2015-12-31,59.33,$3.85,15.42
2015-09-30,50.96,$4.14,12.31
2015-06-30,59.8,$4.20,14.24
2015-03-31,63.05,$4.25,14.84
2014-12-31,54.76,$4.39,12.48
2014-09-30,49.28,$3.72,13.25
2014-06-30,47.4,$3.48,13.62
2014-03-31,46.52,$2.87,16.18
2013-12-31,42.76,$2.75,15.54
2013-09-30,49.35,$3.92,12.58
2013-06-30,48.19,$5.16,9.34
2013-03-31,44.65,$5.45,8.2
2012-12-31,45.61,$6.28,7.26
2012-09-30,49.65,$6.08,8.17
2012-06-30,46.76,$5.79,8.07
2012-03-31,47.6,$4.66,10.22
2011-12-31,44.94,$4.59,9.8
2011-09-30,38.12,$4.23,9.01
2011-06-30,45.64,$4.05,11.28
2011-03-31,44.42,$4.81,9.24
2010-12-31,41.46,$5.15,8.06
2010-09-30,38.77,$5.33,7.28
2010-06-30,38.08,$5.41,7.04
2010-03-31,44.53,$4.29,10.37
2009-12-31,46.05,$4.42,10.41
