Barrett Business Services Price to Free Cash Flow Ratio Historical Data,Barrett Business Services Price to Free Cash Flow Ratio Historical Data,Barrett Business Services Price to Free Cash Flow Ratio Historical Data,Barrett Business Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,40.98,,0.0
2024-12-31,43.44,$-0.15,0.0
2024-09-30,37.44,$-0.09,0.0
2024-06-30,32.63,$1.21,26.95
2024-03-31,31.47,$3.32,9.48
2023-12-31,28.69,$2.03,14.16
2023-09-30,22.29,$0.99,22.49
2023-06-30,21.48,$0.93,23.03
2023-03-31,21.75,$0.59,36.95
2022-12-31,22.81,$0.41,55.85
2022-09-30,19.01,$0.91,20.96
2022-06-30,17.7,$-2.29,0.0
2022-03-31,18.74,$-1.65,0.0
2021-12-31,16.64,$-0.73,0.0
2021-09-30,18.3,$-0.55,0.0
2021-06-30,17.36,$2.72,6.38
2021-03-31,16.39,$-1.43,0.0
2020-12-31,16.17,$-1.19,0.0
2020-09-30,12.38,$-2.24,0.0
2020-06-30,12.48,$-2.87,0.0
2020-03-31,9.25,$1.10,8.43
2019-12-31,20.97,$2.15,9.74
2019-09-30,20.52,$2.34,8.77
2019-06-30,19.02,$2.79,6.83
2019-03-31,17.75,$3.20,5.54
2018-12-31,13.1,$2.11,6.2
2018-09-30,15.23,$3.08,4.94
2018-06-30,21.95,$3.64,6.02
2018-03-31,18.78,$3.56,5.27
2017-12-31,14.57,$3.61,4.03
2017-09-30,12.72,$2.65,4.8
2017-06-30,12.83,$2.86,4.49
2017-03-31,12.18,$2.79,4.37
2016-12-31,14.24,$2.53,5.63
2016-09-30,10.97,$3.45,3.18
2016-06-30,9.1,$3.00,3.03
2016-03-31,6.28,$2.83,2.22
2015-12-31,9.45,$3.32,2.85
2015-09-30,9.27,$2.91,3.18
2015-06-30,7.79,$2.44,3.2
2015-03-31,9.14,$2.23,4.09
2014-12-31,5.81,$2.27,2.56
2014-09-30,8.3,$1.79,4.63
2014-06-30,9.85,$1.94,5.09
2014-03-31,12.43,$2.02,6.15
2013-12-31,19.3,$2.23,8.64
2013-09-30,13.98,$1.77,7.89
2013-06-30,10.82,$1.44,7.54
2013-03-31,10.89,$1.48,7.36
2012-12-31,7.85,$1.33,5.89
2012-09-30,5.57,$1.19,4.69
2012-06-30,4.32,$0.85,5.06
2012-03-31,4.03,$0.75,5.39
2011-12-31,4.03,$0.74,5.44
2011-09-30,2.8,$0.88,3.18
2011-06-30,2.86,$0.67,4.28
2011-03-31,3.19,$0.65,4.88
2010-12-31,3.07,$0.39,7.78
2010-09-30,2.98,$0.22,13.82
2010-06-30,2.41,$0.19,12.88
2010-03-31,2.63,$0.05,52.4
2009-12-31,2.36,$0.05,46.07
