Civeo Price to Free Cash Flow Ratio Historical Data,Civeo Price to Free Cash Flow Ratio Historical Data,Civeo Price to Free Cash Flow Ratio Historical Data,Civeo Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,21.6,,4.51
2024-12-31,22.72,$4.79,4.75
2024-09-30,27.12,$7.23,3.75
2024-06-30,24.44,$7.33,3.34
2024-03-31,26.06,$6.07,4.29
2023-12-31,21.93,$5.44,4.03
2023-09-30,19.68,$4.71,4.18
2023-06-30,18.28,$5.34,3.42
2023-03-31,19.37,$5.71,3.39
2022-12-31,29.18,$5.90,4.94
2022-09-30,23.58,$5.92,3.98
2022-06-30,24.27,$5.32,4.56
2022-03-31,22.15,$5.05,4.39
2021-12-31,17.99,$6.13,2.93
2021-09-30,21.1,$6.64,3.18
2021-06-30,16.7,$6.88,2.43
2021-03-31,14.36,$7.69,1.87
2020-12-31,13.04,$7.85,1.66
2020-09-30,7.6,$8.14,0.93
2020-06-30,6.94,$7.18,0.97
2020-03-31,4.64,$4.85,0.96
2019-12-31,14.52,$3.63,4.0
2019-09-30,14.3,$2.72,5.26
2019-06-30,19.37,$1.97,9.82
2019-03-31,23.64,$3.11,7.6
2018-12-31,16.1,$3.29,4.89
2018-09-30,46.72,$2.39,19.52
2018-06-30,49.09,$4.40,11.15
2018-03-31,42.45,$4.06,10.46
2017-12-31,30.74,$4.45,6.91
2017-09-30,32.09,$4.72,6.79
2017-06-30,23.64,$3.20,7.38
2017-03-31,33.66,$5.13,6.56
2016-12-31,24.77,$5.40,4.58
2016-09-30,12.84,$4.62,2.78
2016-06-30,20.27,$10.34,1.96
2016-03-31,13.85,$11.86,1.17
2015-12-31,15.99,$15.37,1.04
2015-09-30,16.66,$20.72,0.8
2015-06-30,34.57,$12.35,2.8
2015-03-31,28.6,$10.30,2.78
