Devon Energy Price to Free Cash Flow Ratio Historical Data,Devon Energy Price to Free Cash Flow Ratio Historical Data,Devon Energy Price to Free Cash Flow Ratio Historical Data,Devon Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,36.13,,0.0
2024-12-31,32.73,$-1.31,0.0
2024-09-30,38.87,$-1.07,0.0
2024-06-30,46.57,$4.71,9.88
2024-03-31,48.93,$4.40,11.13
2023-12-31,43.77,$4.09,10.71
2023-09-30,45.31,$4.48,10.12
2023-06-30,45.48,$1.71,26.67
2023-03-31,46.93,$4.30,10.91
2022-12-31,56.02,$5.27,10.62
2022-09-30,53.55,$5.35,10.01
2022-06-30,48.0,$8.48,5.66
2022-03-31,50.63,$6.32,8.02
2021-12-31,37.09,$4.47,8.3
2021-09-30,29.31,$3.11,9.42
2021-06-30,23.68,$2.06,11.47
2021-03-31,17.52,$0.72,24.42
2020-12-31,12.53,$0.89,14.01
2020-09-30,7.45,$1.03,7.24
2020-06-30,8.63,$0.64,13.4
2020-03-31,5.21,$0.99,5.25
2019-12-31,19.35,$1.23,15.77
2019-09-30,17.86,$-0.43,0.0
2019-06-30,21.09,$-0.43,0.0
2019-03-31,23.26,$0.51,45.55
2018-12-31,16.57,$-0.07,0.0
2018-09-30,29.27,$-0.17,0.0
2018-06-30,32.15,$0.14,223.6
2018-03-31,23.21,$-0.10,0.0
2017-12-31,30.17,$0.10,290.63
2017-09-30,26.71,$1.73,15.43
2017-06-30,23.22,$8.19,2.84
2017-03-31,30.24,$8.02,3.77
2016-12-31,33.06,$3.20,10.34
2016-09-30,31.89,$1.67,19.09
2016-06-30,26.17,$-4.36,0.0
2016-03-31,19.78,$-5.65,0.0
2015-12-31,22.84,$-2.18,0.0
2015-09-30,26.29,$-4.14,0.0
2015-06-30,41.9,$0.13,329.17
2015-03-31,42.32,$7.90,5.36
2014-12-31,42.77,$-5.67,0.0
2014-09-30,47.44,$-2.58,0.0
2014-06-30,55.06,$-7.22,0.0
2014-03-31,46.26,$-14.75,0.0
2013-12-31,42.62,$-2.25,0.0
2013-09-30,39.64,$-4.20,0.0
2013-06-30,35.47,$-4.95,0.0
2013-03-31,38.42,$-4.08,0.0
2012-12-31,35.31,$-4.50,0.0
2012-09-30,40.9,$-2.24,0.0
2012-06-30,39.07,$-3.04,0.0
2012-03-31,47.75,$-4.14,0.0
2011-12-31,41.51,$-2.83,0.0
2011-09-30,37.02,$-3.83,0.0
2011-06-30,52.49,$-3.18,0.0
2011-03-31,60.99,$2.86,21.29
2010-12-31,52.08,$7.60,6.86
2010-09-30,42.85,$9.16,4.68
2010-06-30,40.22,$10.33,3.89
2010-03-31,42.44,$5.15,8.24
2009-12-31,48.3,$-0.25,0.0
