IRSA Inversiones Y Representaciones S.A Price to Free Cash Flow Ratio Historical Data,IRSA Inversiones Y Representaciones S.A Price to Free Cash Flow Ratio Historical Data,IRSA Inversiones Y Representaciones S.A Price to Free Cash Flow Ratio Historical Data,IRSA Inversiones Y Representaciones S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.38,,5.46
2024-12-31,14.93,$2.45,6.09
2024-09-30,10.33,$3.37,3.07
2024-06-30,8.13,$3.48,2.34
2024-03-31,8.49,$4.37,1.95
2023-12-31,7.8,$5.07,1.54
2023-09-30,5.19,$4.10,1.27
2023-06-30,7.19,$3.98,1.81
2023-03-31,4.7,$2.60,1.81
2022-12-31,3.86,$2.84,1.36
2022-09-30,3.14,$3.32,0.95
2022-06-30,2.78,$3.07,0.9
2022-03-31,3.85,$-0.38,0.0
2021-12-31,3.29,$1.92,1.71
2021-09-30,3.16,$4.53,0.7
2020-12-31,3.48,$5.64,0.62
2020-09-30,2.18,$12.02,0.18
2020-06-30,2.34,$12.43,0.19
2020-03-31,2.69,$11.43,0.24
2019-12-31,5.35,$10.82,0.49
2019-09-30,3.98,$6.22,0.64
2019-06-30,7.39,$4.44,1.66
2019-03-31,8.24,$9.69,0.85
2018-12-31,9.87,$1.88,5.24
2018-09-30,12.81,$12.90,0.99
2018-06-30,13.07,$12.28,1.06
2018-03-31,17.87,$6.01,2.98
2017-12-31,22.37,$13.53,1.65
2017-09-30,17.67,$3.81,4.64
2017-06-30,17.37,$4.61,3.77
2017-03-31,17.65,$5.62,3.14
2016-12-31,13.28,$5.75,2.31
2016-09-30,13.67,$6.96,1.96
2016-06-30,12.1,$5.79,2.09
2016-03-31,10.77,$-0.64,0.0
2015-12-31,8.86,$4.72,1.88
2015-09-30,10.47,$-4.31,0.0
2015-06-30,12.92,$1.80,7.17
2015-03-31,14.19,$7.05,2.01
2014-12-31,11.07,$1.51,7.31
2014-09-30,9.91,$8.92,1.11
2014-06-30,11.73,$2.77,4.24
2014-03-31,7.57,$3.05,2.48
2013-12-31,8.67,$3.32,2.61
2013-09-30,6.01,$3.40,1.77
2013-06-30,5.01,$3.48,1.44
2013-03-31,6.36,$3.07,2.07
2012-12-31,4.7,$3.38,1.39
2012-09-30,4.32,$3.09,1.4
2012-06-30,4.16,$3.21,1.3
2012-03-31,5.93,$4.44,1.33
2011-12-31,6.08,$2.59,2.35
2011-09-30,4.69,$2.87,1.64
2011-06-30,7.42,$2.21,3.36
2011-03-31,7.24,$-0.07,0.0
2010-12-31,8.4,$0.87,9.72
2010-09-30,7.48,$-0.21,0.0
2010-06-30,5.28,0,0.0
2010-03-31,5.47,$0.07,80.27
2009-12-31,4.79,0,0.0
