180 Life Sciences Price to Free Cash Flow Ratio Historical Data,180 Life Sciences Price to Free Cash Flow Ratio Historical Data,180 Life Sciences Price to Free Cash Flow Ratio Historical Data,180 Life Sciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.05,,0.0
2024-09-30,1.67,$-8.45,0.0
2024-06-30,1.65,$-3.75,0.0
2024-03-31,2.33,$-10.79,0.0
2023-12-31,4.06,$-28.82,0.0
2023-09-30,11.64,$-52.90,0.0
2023-06-30,22.23,$-84.23,0.0
2023-03-31,34.2,$-117.78,0.0
2022-12-31,64.41,$-121.28,0.0
2022-09-30,252.7,$-162.37,0.0
2022-06-30,322.28,$-172.34,0.0
2022-03-31,984.2,$-171.91,0.0
2021-12-31,1482.0,$-234.87,0.0
2021-09-30,2055.8,$-228.09,0.0
2021-06-30,3800.0,$-192.90,0.0
2021-03-31,2492.8,$-157.97,0.0
2020-12-31,1037.4,$-81.10,0.0
2020-09-30,4166.7,$-25.69,0.0
2020-06-30,4187.6,$-42.62,0.0
2020-03-31,3800.0,$-114.87,0.0
2019-12-31,4063.64,$-114.35,0.0
2019-09-30,3999.04,$-108.38,0.0
2019-06-30,3978.18,$-96.70,0.0
2019-03-31,3948.2,$-24.26,0.0
2018-12-31,3876.0,$-20.17,0.0
2018-09-30,3838.0,$-29.61,0.0
2018-06-30,3777.2,$-22.89,0.0
2018-03-31,3743.0,$-24.67,0.0
