Cibus Price to Free Cash Flow Ratio Historical Data,Cibus Price to Free Cash Flow Ratio Historical Data,Cibus Price to Free Cash Flow Ratio Historical Data,Cibus Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.19,,0.0
2024-09-30,3.26,$-4.81,0.0
2024-06-30,9.85,$-3.92,0.0
2024-03-31,22.46,$-3.15,0.0
2023-12-31,19.64,$-4.90,0.0
2023-09-30,18.22,$-6.41,0.0
2023-06-30,10.5,$-11.63,0.0
2023-03-31,17.0,$-16.84,0.0
2022-12-31,7.38,$-22.70,0.0
2022-09-30,8.6,$-23.88,0.0
2022-06-30,12.08,$-23.70,0.0
2022-03-31,52.0,$-20.99,0.0
2021-12-31,106.5,$-25.76,0.0
2021-09-30,168.5,$-38.83,0.0
2021-06-30,201.0,$-43.00,0.0
2021-03-31,301.0,$-61.09,0.0
2020-12-31,211.0,$-67.08,0.0
2020-09-30,274.5,$-60.21,0.0
2020-06-30,246.5,$-66.58,0.0
2020-03-31,166.5,$-57.53,0.0
2019-12-31,350.5,$-53.22,0.0
2019-09-30,282.0,$-55.07,0.0
2019-06-30,624.0,$-46.56,0.0
2019-03-31,879.5,$-38.79,0.0
2018-12-31,518.0,$-35.93,0.0
2018-09-30,763.5,$-36.72,0.0
2018-06-30,933.5,$-44.92,0.0
