Banco Santander Brasil SA Price to Free Cash Flow Ratio Historical Data,Banco Santander Brasil SA Price to Free Cash Flow Ratio Historical Data,Banco Santander Brasil SA Price to Free Cash Flow Ratio Historical Data,Banco Santander Brasil SA Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.76,,inf
2024-12-31,3.91,0,0.0
2024-09-30,5.2,0,0.0
2024-06-30,4.82,0,0.0
2024-03-31,5.49,0,0.0
2023-09-30,4.78,0,0.0
2023-06-30,5.86,$0.28,20.57
2022-09-30,4.96,$-0.26,0.0
2022-03-31,6.58,$-0.53,0.0
2021-12-31,4.47,$0.28,16.14
2021-09-30,5.32,$0.27,19.63
2021-06-30,6.52,$0.84,7.72
2021-03-31,5.49,$1.82,3.01
2020-12-31,6.68,$2.10,3.18
2020-09-30,3.78,$2.62,1.45
2020-06-30,3.97,$2.66,1.49
2020-03-31,3.89,$2.19,1.78
2019-12-31,8.75,$1.53,5.71
2019-09-30,7.8,$0.30,26.44
2019-06-30,8.46,$0.33,25.93
2019-03-31,7.96,$0.85,9.35
2018-12-31,7.88,$0.50,15.66
2018-09-30,6.22,$1.98,3.14
2018-06-30,5.26,$2.05,2.57
2018-03-31,8.4,$2.54,3.31
2017-12-31,6.5,$4.03,1.61
2017-09-30,5.85,$3.24,1.8
2017-06-30,5.02,$2.88,1.74
2017-03-31,5.85,$1.82,3.21
2016-12-31,5.69,$0.44,12.85
2016-09-30,4.29,$0.02,250.65
2016-06-30,3.62,$0.61,5.93
2016-03-31,2.95,$0.79,3.74
2015-12-31,2.33,$0.24,9.75
2015-09-30,1.89,$-0.74,0.0
2015-06-30,3.09,$1.13,2.74
2015-03-31,2.5,$14.35,0.17
2014-12-31,2.81,$-0.63,0.0
2014-09-30,3.65,$-30.69,0.0
2014-06-30,3.83,$-4.74,0.0
2014-03-31,3.07,$-27.32,0.0
2013-12-31,3.3,0,0.0
2013-09-30,3.73,$17.21,0.22
2013-06-30,3.3,$2.26,1.46
2013-03-31,3.83,$9.96,0.38
2012-12-31,3.84,$2.24,1.71
2012-09-30,3.8,$16.41,0.23
2012-06-30,3.93,$1.60,2.46
2012-03-31,4.62,$-8.25,0.0
2011-12-31,4.1,$-18.32,0.0
2011-09-30,3.64,$-45.17,0.0
2011-06-30,5.78,$-34.32,0.0
2011-03-31,5.93,$-22.42,0.0
2010-12-31,6.52,$-16.60,0.0
2010-09-30,6.48,$-18.56,0.0
