Leslie's Price to Free Cash Flow Ratio Historical Data,Leslie's Price to Free Cash Flow Ratio Historical Data,Leslie's Price to Free Cash Flow Ratio Historical Data,Leslie's Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.8,,4.4
2024-12-31,2.23,$0.18,12.3
2024-09-30,3.16,$0.33,9.68
2024-06-30,4.19,$0.52,8.08
2024-03-31,6.5,$0.49,13.13
2023-12-31,6.91,$0.42,16.44
2023-09-30,5.66,$-0.17,0.0
2023-06-30,9.39,$-0.61,0.0
2023-03-31,11.01,$-0.40,0.0
2022-12-31,12.21,$-0.15,0.0
2022-09-30,14.71,$0.19,77.5
2022-06-30,15.18,$0.48,31.73
2022-03-31,19.36,$0.56,34.39
2021-12-31,23.66,$0.73,32.3
2021-09-30,20.54,$0.75,27.33
