German American Bancorp Price to Free Cash Flow Ratio Historical Data,German American Bancorp Price to Free Cash Flow Ratio Historical Data,German American Bancorp Price to Free Cash Flow Ratio Historical Data,German American Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,38.34,,12.53
2024-12-31,40.22,$3.06,13.15
2024-09-30,38.52,$3.22,11.96
2024-06-30,34.89,$3.24,10.76
2024-03-31,33.91,$3.32,10.22
2023-12-31,31.45,$3.56,8.84
2023-09-30,26.06,$3.33,7.82
2023-06-30,25.93,$3.59,7.23
2023-03-31,31.54,$3.03,10.4
2022-12-31,35.03,$3.47,10.1
2022-09-30,33.34,$3.54,9.41
2022-06-30,31.72,$3.52,9.0
2022-03-31,35.03,$4.10,8.55
2021-12-31,35.73,$3.70,9.66
2021-09-30,35.24,$4.16,8.48
2021-06-30,33.75,$3.57,9.46
2021-03-31,41.72,$3.54,11.78
2020-12-31,29.7,$3.36,8.83
2020-09-30,24.21,$2.63,9.19
2020-06-30,27.57,$3.31,8.32
2020-03-31,24.17,$2.51,9.63
2019-12-31,31.19,$2.23,13.98
2019-09-30,27.92,$2.28,12.23
2019-06-30,26.1,$1.59,16.46
2019-03-31,25.33,$2.22,11.39
2018-12-31,23.79,$2.03,11.69
2018-09-30,30.08,$1.61,18.68
2018-06-30,30.44,$1.67,18.19
2018-03-31,28.2,$1.41,19.94
2017-12-31,29.74,$1.91,15.6
2017-09-30,31.89,$1.92,16.58
2017-06-30,28.48,$1.56,18.29
2017-03-31,26.26,$2.01,13.09
2016-12-31,29.07,$1.64,17.74
2016-09-30,21.41,$1.38,15.52
2016-06-30,17.49,$1.90,9.19
2016-03-31,17.52,$1.52,11.54
2015-12-31,18.02,$1.49,12.09
2015-09-30,15.75,$2.01,7.85
2015-06-30,15.76,$1.87,8.41
2015-03-31,15.65,$1.73,9.04
2014-12-31,16.14,$1.69,9.57
2014-09-30,13.58,$1.45,9.37
2014-06-30,14.16,$1.88,7.53
2014-03-31,15.01,$2.42,6.2
2013-12-31,14.67,$1.98,7.4
2013-09-30,12.95,$2.22,5.83
2013-06-30,11.5,$0.88,13.07
2013-03-31,11.67,$1.01,11.57
2012-12-31,10.94,$2.02,5.4
2012-09-30,12.07,$1.37,8.82
2012-06-30,10.19,$1.89,5.39
2012-03-31,9.59,$1.25,7.67
2011-12-31,8.92,$1.20,7.43
2011-09-30,7.84,$1.67,4.69
2011-06-30,8.0,$1.63,4.91
2011-03-31,8.22,$1.39,5.93
2010-12-31,8.74,$0.95,9.23
2010-09-30,8.08,$0.53,15.37
2010-06-30,7.14,$0.90,7.94
2010-03-31,7.0,$1.24,5.65
2009-12-31,7.44,$0.47,15.86
