Allbirds Price to Free Cash Flow Ratio Historical Data,Allbirds Price to Free Cash Flow Ratio Historical Data,Allbirds Price to Free Cash Flow Ratio Historical Data,Allbirds Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.31,,0.0
2024-12-31,6.97,$-8.64,0.0
2024-09-30,11.8,$-7.90,0.0
2024-06-30,0.5,$-7.40,0.0
2024-03-31,0.69,$-5.74,0.0
2023-12-31,1.23,$-5.42,0.0
2023-09-30,1.11,$-6.67,0.0
2023-06-30,1.26,$-9.14,0.0
2023-03-31,1.2,$-12.97,0.0
2022-12-31,2.42,$-16.40,0.0
2022-09-30,3.04,$-36.00,0.0
