Dyadic Price to Free Cash Flow Ratio Historical Data,Dyadic Price to Free Cash Flow Ratio Historical Data,Dyadic Price to Free Cash Flow Ratio Historical Data,Dyadic Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.4,,0.0
2024-09-30,1.04,$-0.14,0.0
2024-06-30,1.48,$-0.21,0.0
2024-03-31,1.67,$-0.20,0.0
2023-12-31,1.61,$-0.23,0.0
2023-09-30,1.92,$-0.26,0.0
2023-06-30,1.93,$-0.25,0.0
2023-03-31,1.78,$-0.26,0.0
2022-12-31,1.23,$-0.29,0.0
2022-09-30,1.91,$-0.32,0.0
2022-06-30,3.05,$-0.41,0.0
2022-03-31,3.01,$-0.44,0.0
2021-12-31,4.52,$-0.41,0.0
2021-09-30,5.56,$-0.35,0.0
2021-06-30,3.59,$-0.25,0.0
2021-03-31,5.49,$-0.24,0.0
2020-12-31,5.38,$-0.24,0.0
2020-09-30,7.57,$-0.25,0.0
2020-06-30,8.66,$-0.25,0.0
2020-03-31,5.2,$-0.29,0.0
