Quest Resource Holding Price to Free Cash Flow Ratio Historical Data,Quest Resource Holding Price to Free Cash Flow Ratio Historical Data,Quest Resource Holding Price to Free Cash Flow Ratio Historical Data,Quest Resource Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.94,,0.0
2024-12-31,6.5,$-0.52,0.0
2024-09-30,7.98,$-0.67,0.0
2024-06-30,8.8,$-0.63,0.0
2024-03-31,8.58,$-0.40,0.0
2023-12-31,7.33,$-0.08,0.0
2023-09-30,7.4,$0.41,17.85
2023-06-30,6.52,$0.34,19.08
2023-03-31,6.14,$0.02,328.34
2022-12-31,6.11,$-0.16,0.0
2022-09-30,8.44,$-0.30,0.0
2022-06-30,4.09,$-0.34,0.0
2022-03-31,6.15,$-0.13,0.0
2021-12-31,6.94,$0.10,71.18
2021-09-30,6.1,$0.26,23.21
2021-06-30,6.35,$0.32,20.0
2021-03-31,3.9,$0.36,10.86
2020-12-31,2.31,$0.16,14.58
2020-09-30,1.9,$0.10,19.06
2020-06-30,1.35,$0.19,6.95
2020-03-31,1.17,$0.13,9.32
2019-12-31,2.18,$0.13,16.94
2019-09-30,2.5,$0.12,21.63
2019-06-30,2.77,$0.07,37.69
2019-03-31,1.65,$0.07,25.15
2018-12-31,1.36,$0.18,7.63
2018-09-30,2.56,$0.12,21.4
2018-06-30,1.94,$0.07,28.83
2018-03-31,2.21,$0.13,16.99
2017-12-31,2.3,$-0.13,0.0
2017-09-30,1.16,$-0.26,0.0
2017-06-30,2.42,$-0.17,0.0
2017-03-31,2.35,$-0.40,0.0
2016-12-31,2.45,$-0.35,0.0
2016-09-30,2.02,$-0.44,0.0
2016-06-30,2.32,$0.15,15.57
2016-03-31,3.36,$-0.04,0.0
2015-12-31,5.54,$0.07,76.26
2015-09-30,4.48,$0.03,175.72
2015-06-30,8.64,$-0.74,0.0
2015-03-31,10.08,$-0.45,0.0
2014-12-31,11.52,$-0.76,0.0
2014-09-30,13.76,$-0.67,0.0
2014-06-30,41.68,$-0.57,0.0
2014-03-31,16.96,$-0.63,0.0
2013-12-31,16.8,$-0.47,0.0
2013-09-30,18.56,$0.02,855.3
2013-06-30,23.52,$-0.06,0.0
2013-03-31,24.0,$-0.21,0.0
2012-12-31,23.2,$-0.13,0.0
2012-09-30,17.6,$-0.37,0.0
2012-06-30,29.6,$-0.35,0.0
2012-03-31,26.4,$-0.02,0.0
2011-12-31,15.6,$-0.04,0.0
2011-09-30,18.8,$-0.12,0.0
2011-06-30,11.6,$-0.04,0.0
2011-03-31,28.0,$-0.01,0.0
2010-12-31,14.8,$-0.04,0.0
