Independent Bank Price to Free Cash Flow Ratio Historical Data,Independent Bank Price to Free Cash Flow Ratio Historical Data,Independent Bank Price to Free Cash Flow Ratio Historical Data,Independent Bank Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,31.04,,11.67
2024-12-31,34.83,$2.66,13.09
2024-09-30,33.11,$2.76,12.0
2024-06-30,26.6,$3.24,8.22
2024-03-31,24.74,$3.29,7.52
2023-12-31,25.15,$3.36,7.48
2023-09-30,17.53,$2.61,6.71
2023-06-30,16.03,$2.95,5.43
2023-03-31,16.55,$3.62,4.58
2022-12-31,22.06,$4.26,5.17
2022-09-30,17.44,$6.72,2.59
2022-06-30,17.42,$4.63,3.76
2022-03-31,19.66,$4.98,3.95
2021-12-31,21.14,$4.79,4.42
2021-09-30,18.86,$3.25,5.81
2021-06-30,18.87,$3.47,5.43
2021-03-31,20.37,$3.04,6.7
2020-12-31,15.75,$2.49,6.31
2020-09-30,10.58,$2.74,3.86
2020-06-30,12.32,$2.66,4.63
2020-03-31,10.53,$1.83,5.75
2019-12-31,18.36,$1.28,14.36
2019-09-30,17.14,$1.16,14.81
2019-06-30,17.37,$1.80,9.63
2019-03-31,17.13,$1.86,9.22
2018-12-31,16.62,$1.73,9.6
2018-09-30,18.57,$2.13,8.72
2018-06-30,19.91,$1.52,13.1
2018-03-31,17.76,$1.74,10.21
2017-12-31,17.22,$1.59,10.84
2017-09-30,17.36,$0.62,28.03
2017-06-30,16.59,$0.84,19.72
2017-03-31,15.72,$0.85,18.39
2016-12-31,16.4,$0.95,17.25
2016-09-30,12.65,$0.60,21.1
2016-06-30,10.85,$1.19,9.13
2016-03-31,10.82,$1.18,9.15
2015-12-31,11.26,$0.82,13.7
2015-09-30,10.86,$0.97,11.15
2015-06-30,9.93,$0.38,26.16
2015-03-31,9.36,$-0.03,0.0
2014-12-31,9.47,$0.39,24.48
2014-09-30,8.61,$0.48,17.86
2014-06-30,9.25,$0.93,9.98
2014-03-31,9.29,$1.53,6.09
2013-12-31,8.59,$2.00,4.29
2013-09-30,7.16,$2.29,3.13
2013-06-30,4.5,$1.68,2.68
2013-03-31,6.05,$1.32,4.59
2012-12-31,2.51,$0.79,3.16
2012-09-30,1.94,$-0.07,0.0
2012-06-30,1.77,$0.21,8.38
2012-03-31,1.57,$-0.35,0.0
2011-12-31,0.95,$0.47,2.02
2011-09-30,1.37,$0.87,1.57
2011-06-30,1.45,$0.20,7.41
2011-03-31,2.29,$-2.82,0.0
2010-12-31,0.93,$-0.17,0.0
