TRX Gold Price to Free Cash Flow Ratio Historical Data,TRX Gold Price to Free Cash Flow Ratio Historical Data,TRX Gold Price to Free Cash Flow Ratio Historical Data,TRX Gold Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.32,,0.0
2024-11-30,0.36,$-0.00,0.0
2024-08-31,0.39,$0.01,0.0
2024-05-31,0.48,$0.00,0.0
2024-02-29,0.33,$-0.00,0.0
2023-11-30,0.4,$-0.00,0.0
2023-08-31,0.39,$-0.00,0.0
2023-05-31,0.46,$0.00,0.0
2023-02-28,0.4,$-0.00,0.0
2022-11-30,0.34,$-0.01,0.0
2022-08-31,0.48,$-0.04,0.0
2022-05-31,0.34,$-0.06,0.0
2022-02-28,0.41,$-0.07,0.0
2021-11-30,0.41,$-0.08,0.0
2021-08-31,0.41,$-0.07,0.0
2021-05-31,0.5,$-0.07,0.0
2021-02-28,0.7,$-0.08,0.0
2020-11-30,0.62,$-0.08,0.0
2020-08-31,0.85,$-0.08,0.0
2020-05-31,0.85,$-0.07,0.0
2020-02-29,0.5,$-0.06,0.0
2019-11-30,0.82,$-0.05,0.0
2019-08-31,0.8,$-0.04,0.0
2019-05-31,0.66,$-0.03,0.0
2019-02-28,0.64,$-0.03,0.0
2018-11-30,0.36,$-0.03,0.0
2018-08-31,0.36,$-0.02,0.0
2018-05-31,0.55,$-0.03,0.0
2018-02-28,0.36,$-0.03,0.0
2017-11-30,0.26,$-0.03,0.0
2017-08-31,0.42,$-0.04,0.0
2017-05-31,0.47,$-0.03,0.0
2017-02-28,0.44,$-0.03,0.0
2016-11-30,0.48,$-0.02,0.0
2016-08-31,0.75,$-0.02,0.0
2016-05-31,0.43,$-0.03,0.0
2016-02-29,0.34,$-0.03,0.0
2015-11-30,0.31,$-0.03,0.0
2015-08-31,0.32,$-0.03,0.0
2015-05-31,0.32,$-0.04,0.0
2015-02-28,0.56,$-0.06,0.0
2014-11-30,1.05,$-0.07,0.0
2014-08-31,2.37,$-0.07,0.0
2014-05-31,1.82,$-0.07,0.0
2014-02-28,2.31,$-0.07,0.0
2013-11-30,2.15,$-0.07,0.0
2013-08-31,3.32,$-0.09,0.0
2013-05-31,3.24,$-0.11,0.0
2013-02-28,3.52,$-0.12,0.0
2012-11-30,4.68,$-0.14,0.0
2012-08-31,4.43,$-0.13,0.0
2012-05-31,3.92,$-0.11,0.0
2012-02-29,4.21,$-0.11,0.0
2011-11-30,2.73,$-0.13,0.0
2011-08-31,5.88,$-0.13,0.0
2011-05-31,7.46,$-0.14,0.0
2011-02-28,6.98,$-0.12,0.0
2010-11-30,6.56,$-0.09,0.0
2010-08-31,5.51,$-0.08,0.0
2010-05-31,4.63,$-0.04,0.0
2010-02-28,4.18,$-0.04,0.0
2009-11-30,3.55,$-0.05,0.0
