Affimed Price to Free Cash Flow Ratio Historical Data,Affimed Price to Free Cash Flow Ratio Historical Data,Affimed Price to Free Cash Flow Ratio Historical Data,Affimed Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.9,,0.0
2024-09-30,3.36,$-5.31,0.0
2024-06-30,5.45,$-6.24,0.0
2024-03-31,5.3,$-7.58,0.0
2023-12-31,6.25,$-8.26,0.0
2023-09-30,4.78,$-9.22,0.0
2023-06-30,5.98,$-8.69,0.0
2023-03-31,7.46,$-7.61,0.0
2022-12-31,12.4,$-7.81,0.0
2022-09-30,20.6,$-7.84,0.0
2022-06-30,27.7,$-9.26,0.0
2022-03-31,43.7,$-9.62,0.0
2021-12-31,55.2,$-8.79,0.0
2021-09-30,61.8,$-3.85,0.0
2021-06-30,85.0,$-1.82,0.0
2021-03-31,79.1,$-2.08,0.0
2020-12-31,58.2,$-2.71,0.0
2020-09-30,33.9,$-4.50,0.0
2020-06-30,46.15,$-6.16,0.0
2020-03-31,15.8,$-5.25,0.0
2019-12-31,27.4,$-5.30,0.0
2019-09-30,29.4,$8.54,3.44
2019-06-30,28.7,$8.96,3.2
2019-03-31,42.0,$8.66,4.85
2018-12-31,31.1,$9.51,3.27
2018-09-30,43.5,$-4.67,0.0
2018-06-30,16.5,$-6.40,0.0
2018-03-31,18.5,$-6.43,0.0
2017-12-31,13.0,$-6.75,0.0
2017-09-30,22.5,$-8.84,0.0
2017-06-30,20.5,$-8.33,0.0
2017-03-31,23.0,$-9.87,0.0
2016-12-31,18.0,$-10.77,0.0
2016-09-30,27.8,$-9.57,0.0
2016-06-30,24.8,$-8.87,0.0
2016-03-31,37.4,$-7.32,0.0
2015-12-31,71.2,$-6.31,0.0
2015-09-30,61.7,$9.63,6.41
2015-06-30,134.7,$-9.18,0.0
