Finward Bancorp Price to Free Cash Flow Ratio Historical Data,Finward Bancorp Price to Free Cash Flow Ratio Historical Data,Finward Bancorp Price to Free Cash Flow Ratio Historical Data,Finward Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,28.68,,7.68
2024-09-30,31.98,$3.74,8.56
2024-06-30,24.52,$5.88,4.17
2024-03-31,24.6,$8.69,2.83
2023-12-31,25.24,$5.57,4.53
2023-09-30,22.13,$6.50,3.41
2023-06-30,22.0,$6.96,3.16
2023-03-31,29.1,$4.92,5.92
2022-12-31,36.2,$3.93,9.2
2022-09-30,34.01,$6.51,5.23
