Transcontinental Realty Investors Price to Free Cash Flow Ratio Historical Data,Transcontinental Realty Investors Price to Free Cash Flow Ratio Historical Data,Transcontinental Realty Investors Price to Free Cash Flow Ratio Historical Data,Transcontinental Realty Investors Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,27.9,,0.0
2024-09-30,28.79,$-7.11,0.0
2024-06-30,27.73,$-5.38,0.0
2024-03-31,37.65,$-5.45,0.0
2023-12-31,34.56,$-5.71,0.0
2023-09-30,30.62,$-5.64,0.0
2023-06-30,36.63,$-5.92,0.0
2023-03-31,42.39,$-4.81,0.0
2022-12-31,44.18,$-2.26,0.0
2022-09-30,40.35,$3.02,13.36
2022-06-30,39.79,$9.92,4.01
2022-03-31,39.03,$11.10,3.52
2021-12-31,39.1,$10.01,3.91
2021-09-30,40.0,$13.37,2.99
2021-06-30,33.77,$6.31,5.35
2021-03-31,21.52,$5.72,3.76
2020-12-31,24.11,$3.37,7.16
2020-09-30,24.93,$-2.51,0.0
2020-06-30,30.02,$-3.63,0.0
2020-03-31,20.51,$-4.23,0.0
2019-12-31,39.88,$-5.08,0.0
2019-09-30,31.05,$3.69,8.42
2019-06-30,25.63,$0.02,1341.88
2019-03-31,31.24,$-3.07,0.0
2018-12-31,28.32,$-2.67,0.0
2018-09-30,31.89,$-5.04,0.0
2018-06-30,33.45,$-4.97,0.0
2018-03-31,40.61,$-2.82,0.0
2017-12-31,31.32,$-3.64,0.0
2017-09-30,27.2,$-5.58,0.0
2017-06-30,26.89,$-3.83,0.0
2017-03-31,19.27,$-0.41,0.0
2016-12-31,12.02,$0.92,13.11
2016-09-30,11.65,$8.07,1.44
2016-06-30,9.96,$10.16,0.98
2016-03-31,9.91,$-0.00,0.0
2015-12-31,10.3,$4.55,2.26
2015-09-30,12.86,$-6.90,0.0
2015-06-30,11.35,$-5.93,0.0
2015-03-31,11.15,$2.79,4.0
2014-12-31,10.3,$-3.06,0.0
2014-09-30,10.0,$-5.31,0.0
2014-06-30,14.24,$-6.65,0.0
2014-03-31,14.27,$-7.84,0.0
2013-12-31,9.44,$-6.45,0.0
2013-09-30,8.92,$0.13,66.42
2013-06-30,8.9,$-1.44,0.0
2013-03-31,5.37,$-0.88,0.0
2012-12-31,4.34,$-1.51,0.0
2012-09-30,5.5,$-6.80,0.0
2012-06-30,2.79,$-2.61,0.0
2012-03-31,2.41,$-3.26,0.0
2011-12-31,1.64,$0.00,0.0
2011-09-30,2.47,$5.00,0.49
2011-06-30,2.19,$0.86,2.54
2011-03-31,3.55,$1.27,2.8
2010-12-31,6.71,$-0.75,0.0
2010-09-30,8.99,$-0.41,0.0
2010-06-30,9.23,$-1.27,0.0
2010-03-31,12.52,$-2.71,0.0
2009-12-31,11.91,$-3.48,0.0
